🔴 Oblężenie Sarajewa — COMMAND & CONQUER: TIBERIUM WARS Livestream #2
🔗 https://www.youtube.com/watch?v=nb7GjDFGBuE

16:  Dzień dobry.
52:  Dziękuje.
196:  Dziękuje za oglądanie!
235:  Muzyka Muzyka
263:  KONIEC!
548:  KONIEC!
581:  KONIEC!
655:  Witam serdecznie wszystkich przybyłych.
658:  Będziemy dzisiaj oblegać Sarajewo!
662:  riamniczą armią z Global Dachshunds Initiative.
667:  Witam przy dźwiękach Joe Vandrini, utworu To War, Balerock72, Alejandra, Simon, Magdalena Grotnicka, Bigomeza, Blazy, Mother of Dragon, Pawełek, Agnieszka, Salad, Venzant, Krystian, SzczęśliwySyzyf, Nerku, Magdalena, Nan, Nul, TodicWebArt, WyznawcoRagategoSzczura, nie będą powitani, dziękuję WyznawcyRagategoSzczura za odnowienie wspierania.
690:  Kruczycień, Grzegorz Cikora, IllegalDeath, Simon Zenit, 21kaktusowykaktus, Małgorzata Piłat, Belzar, Paulina, Krzysiek, Idai, Lucifer666, Jakub Kroczyński, Veles, Nixios, Gorbex i Krzysztof S. Lesbians for the win!
710:  Udało się wymierzyć idealnie.
712:  Przy okazji dziękuję za dołączenie do nas wspierających.
714:  Jakub Kroczyński, wyznawca rogatki kosztowości publicznej Lucifer666, Lukas Senpai, Melanfa oraz Lepre.
721:  I John Lay, Dariusz Tokarczuk, Krzysiek, Kare X, Davmigos, Zenit.
728:  Kaffin, Jan Kołębiowski, Tropka94, Fajny Robert227, Haścik Szymon Nalewajko, Cuki Tsubane, Czarnakłuska, GaciKoś94, Tomiszcze, Sebulba, Alfred Frag, Faciek, Piteras312, John Lay, Nixios oraz Grzegorz i Klaudia Augustynia, Krosnier Blackcat, Wyznawca Regaty Kosztura,
750:  Każe nam przyjąć błogosławieństwo, spacznia!
752:  Wspaniale!
754:  Warpstone!
754:  Paulinę witam w gronie wspierających, dziękuję najserdeczniej, macz jamniki!
758:  Nie takie, ale cyfrowe!
759:  Też dobrze!
760:  I Nikodem Świerkowski, stali, nie stali bywalcy kanału!
763:  Witajcie, moi drodzy, najserdeczniej, jak zawsze przy Command & Conquer, szybciutkie powitanie i od razu lecimy do gry, ponieważ gra jest wspaniała i cudowna!
771:  Kampania, kontynuuj kampanię!
773:  Natychmiast, natychmiast i w pośpiechu!
776:  Jesteśmy, moi drodzy, na terenie Europy Południowej, która jest zwana przez Amerykanów Europą Wschodnią.
782:  Wystawca rogatogosztura tymczasem jest Jan Mikołajem, więc już, moi drodzy, przy dźwiękach solennej muzyki z Command & Conquer powitam w gronie wspierających aż 20 osób.
790:  Idai, dołączona gra wspierających Pawełek, Faciek, Gacik84, Tropka94, Klaudia Augustyniak, Zła Kamera, Dariusz Tokarczuk, Zenit, niuch przy okazji, i Veles.
801:  Dołącza z powrotem dla wspierających Jakub Kroczyński.
804:  Macie wszyscy, moi drodzy, jamniki dzięki wyznawcom dla tego szóra, który jest jamnikołajem.
808:  Jamnikołajem dla jamnikołaja.
