🔴 Czeski film — DEUS EX: ROZŁAM LUDZKOŚCI Livestream #2
🔗 https://www.youtube.com/watch?v=vWs-sFR3ZYc

33:  Dzięki za uwagę!
144:  Muzyka
295:  Muzyka
359:  Żyjemy w czasach, w których najnowsze podzespoły nie odpalają nowych gier, ponieważ jeszcze zostały one nienaprawione.
371:  I w których najnowsze podzespoły nie odpalają starych gier, ponieważ jeszcze nie zostały one naprawione.
381:  Niech żyje kapitanic.
382:  Witam Was wszystkich najserdeczniej.
384:  Dominik Śluzarczyk, Helena, Natalia Lepre, Will Maciej, Tik Tak, Paweł Bola, Dominik Śluzarczyk, Adam Borkowski, Pink Duke, Nani Nani, Darf Bigos, Agnieszka Saran, Pawełek, Markus Feniks, Gadziorro, Tomaszu Łomaszu, Nerku Lorax, Marchen84, Jestem Motionless, Histolek, Barok72, Wesago, Małgorzata Piła, Czarmie Łykołaj III, Szymon Zalder, Rafał Biórkowski, Ania Kurzyja,
405:  Lukas P., Mr. Motionless, Neto, Pademif, Ernest, dziękuję imperialnemu snywiec za trybut chwalny omnisjasza, albo byłem daje nam wszczepy, tak jest, jedyne co nam pozostaje, moi drodzy, w takich czasach śpiewać kantyczki na cześć Boga maszyny, modlić się do sprzętów, które nie działają, które nie...
421:  Obsługują w żadnym razie tego wszystkiego, co powinny obsługiwać.
424:  Nie przejmują się kodami, algorytmami, matematykami.
427:  Nie!
428:  One działają na magię i wolę i wiarę wyłącznie.
431:  Czar Mikołaj III, Grzegorz Sikora, Zuni, Harasland, Oliwia, Lunatella Komorowska, Marek Grabowski, Jeep Tasty, Lon...
437:  Danny Boy, Pademy Furnes jeszcze raz, Nerku Szczęśliwy Syzyf, Jakub W. Wdowiak, Rafał Posolona, Pawełek Enerdoj, i Juki Krzysztof S. i Marchen oraz Helena, Marian Kapułanka Chaosu, Zenit 21, Serenox.
453:  Ależ ten beat jest dobry!
462:  Boże!
465:  Jakże taką muzykę w grach!
467:  Mortin Dik jest zmarzony od 15 miesięcy, Ave Adam Jensen, Ave Krzysztof, Ave Jamnik, niech będzie podpalony!
473:  Jeep Taste, Yuki, Czerwony Lis, Piotr Białkowski, Statera24, Arkadiusz Zalewski, Dot Howard, Piotr Rado, Grzechotnik, Szymon, Ewelina, Todig the Bad!
483:  I wszyscy stali i nie stali, widzowie kanału Płonąc Eprykę, jeszcze witam serdecznie Marciniu oraz Dwemera ze Skyrim, niestałych widzów, także wspierających, niewspierających, graczy Deus Exa oraz fanów muzyki Michaela Makana, który właśnie w tym momencie nam gra.
497:  Spojrzałem na wszelki wypadek, żeby nie skrzywdzić drugiego kompozytora, a mianowicie Saszy Dickichiana, którego nigdy nie jestem w stanie zapamiętać.
507:  Let's go, moi drodzy.
508:  Przepraszam jeszcze raz za to opóźnienie.
511:  W tak zwanym międzyczasie zdołałem zreinstalować grę.
516:  Zreinstalowawszy grę, zaktualizowałem sterowniki, dwa razy zrobiłem reboot komputera.
522:  Oprócz tego testowałem jakieś 20 różnych opcji graficznych dla gry i w końcu podziałało wyłączenie DirectXa 12, który chyba w przypadku tej gry nie lubi się z NVIDIĄ.
535:  Nauczyłem się natomiast, i to jest to, co dają streamy, spokoju, moi drodzy.
540:  I to jest coś, czego nie miałem, bo przyznam się wam, że jak pierwszym raz miałem taki crush ostry, to było w Dark Souls 3, jak graliśmy, Jezu, jak poleciał strumień przekleństw w przestrzeń, jak ja się zdenerwowałem, to było w trakcie transmisji, było wyłączenie prądu czy coś takiego, totalnie niezależne od człowieka.
558:  Człowiek się uczy w którymś momencie spokoju.
561:  Zrobiłem sobie maraton z tym od Zwiedzina Trzeciego i uznałem, że zagram trzeci raz, by się zerwił aj trzeci.
567:  Zmęczyłeś się, należycie pizka?
569:  Aniu, ja byś tu była, właśnie jestem po pizki.
572:  Po pizce, po pizce, po pi... Tego się nie da odmienić, jak to jest zdrobnione.
581:  Ale numer.
583:  Teraz się zorientowałem.
585:  Save'y są oczywiście, moi drodzy, tak jak obiecałem.
588:  Startujemy dokładnie w miejscu, w którym byliśmy.
592:  Mamy znaleźć sposób na konfrontację z Ryszardem, który nie jest Rysławem, który nie jest Ryszardem Chojnowskim.
599:  Piccyjce.
602:  Popiczce.
602:  No właśnie.
605:  No właśnie.
609:  No właśnie.
610:  Tego się obawiałem.
612:  Good people don't go upstairs.
615:  Good people don't disturb, Richard.
621:  Ale my nie jesteśmy dobrymi ludźmi.
624:  My jesteśmy złymi.
625:  Dorzucanie wiadro z farbą.
628:  Ja mam świetny pomysł.
630:  Czekajcie.
639:  Dobrzy ludzie nie rzucają wiadrem w cywili!
647:  Dlaczego...?
651:  Okej.
655:  Czy to jest palmtop?
655:  To jest palmtop.
657:  Trzeba wszystkie palmtopy znaleźć.
660:  Oczywiście źle to zrobiłem.
663:  Jan mi powiedział, co się stało.
664:  Straciłeś wszystkie pieniądze, próbując kupić te podrobione zezwolenia.
