🔴 Dachshund Ex: Rozłam długości — DEUS EX: ROZŁAM LUDZKOŚCI Livestream #1
🔗 https://www.youtube.com/watch?v=FxU3VMGYgb4

278:  Dzięki za oglądanie!
315:  Cześć!
434:  Muzyka
544:  Muzyka
697:  Muzyka
927:  Muzyka Muzyka
984:  Moi drodzy...
985:  Nadszedł ten moment po prawie dwóch latach od ostatniego Deus Exa, czyli od Deus Exa Human Revolution, że wreszcie wracamy do Deus Ex Mankind Divided.
995:  Gra na Michael McCann najlepiej jak można, ale to nie jest jedyny kompozytor tej wspaniałej muzyki, którą usłyszycie na ulicach Pragi, cyberpunkowa Praga,
1004:  Bardzo to brzmi dobrze, moi drodzy.
1006:  Witajcie najserdeczniej.
1007:  Krzysiek, Mr. Motionless, Krzysztof S. Grzegorz, Sikora, Wasako, Just Susay, Bartek Litowski, Nerus, Nani Nani, Absensi, Martka, Marta, Ewa, Matka4, Kitku, Czerwony List, Tomacu, Omacu, Joanna Kubis, Balrog72, Mr. Motionless.
1019:  Tu się bardzo cieszę od samego początku.
1021:  Zauważyłem na Deus Exa, Marka84, Simon, Płonca, Bryka, Pan Skorpion, jeszcze naszych wspaniałych moderatorów, Nerku, Michalina Urbaniec, Krystian, Posolona, Pawełek, Nix, Nix, Blackstar, 221, Spiff,
1034:  Arkadiusz Cybulak oraz Pijko Meza i Serenus, bo jaka ta muzyka jest cudowna!
1041:  Hysza, Pan Karmazyn.
1042:  Wiecie, ile ja przy tym napisałem tekstów naukowych?
1044:  Nie przeliczono liczbę.
1045:  Robaczysko, Vivi, Marta Szczepaniak, Jakub Czeris, Frosch, Jazz Whiteley, Whitekey, Downhill Knight7, Hysza, Eustachy90, Motyka Szczęśliwy, Syzyf, Arrora, Evil Macie, Akeri, Nerus,
1061:  i Ania Kaźmierczak, Nemeczek, Szymon Rogowski, Nemeczek prosił o streszczenie krótkie Deus Exa, zrobię co mogę, jednak zaczniemy gierańsko, Przem97, Neto, Dawajst, Jamnicja, Skrajny Czarów, Pawełek Szynek, Karol Wojnarowski, Faurin, Żywy Ogień, Wiktor Z, Zenit21, Dot Howard, Szynek K, Knur Madziek, Faurin,
1082:  Milare, Zuzanka i Agnieszka, Accordi, czerwony list już był, Knur Maciek, Uno Martino, Alfred Fragge i Artur, Aleksandra Łapot, witamy serdecznie, Arvel, Kacper Kwiatowski, Tyrion Lannister, coraz lepiej, moi drodzy, coraz lepiej.
1099:  Wszyscy stali i nie stali, widzowie kanału, wszyscy wspierających, serdecznie dziękuję też za przedwczesne, przedstreamowe trybuty i wsparcia.
1106:  Ach!
1107:  Jeżeli jesteście, moi drodzy, zainteresowani tą muzą, to muzyka z Poczekajek jest cała gromadzona na playliście CyberYam, gdzie mamy naszą cyberpunkową muzykę, najlepsze rzeczy, które zostały z Cyberpunk'a 2077, parę moich własnych oraz oczywiście bardzo dużo Michaela McCona oraz tego drugiego kompozytora, który się nazywa
1127:  Sascha Digitsyan, brzmi po turecku to nazwisko, ale jest naprawdę dobry.
1132:  Oj, oj, oj.
1133:  Doktor Keller też jest fenomenalnym utworem.
1135:  Joanna Dzigidozny, Matt Peterson, Darec Suki i... Piteras, Agata, Wernus, Grzegorz, Piotr Nudny, Miłoszka88, Adamolo26, a Monokain2dy czasem nie ma na wstępie filmiku znaszczającego poprzednią część.
1150:  Być może, nie pamiętam, zobaczymy.
1154:  In game jest film podsumowujący Human Evolution.
1156:  No to rewelacja, moi drodzy.
1157:  To są dobre gry, tak?
1159:  Niech się uczą producenci serialów, niech się uczą ludzie z FromSoftu robiący cut-second na czarnym ekranie z napisami.
1167:  Niech się uczą od najlepszych, moi drodzy.
1171:  Och, Zenik jeszcze, posolona Grzegorz, Kajetan Sługocki, witajcie najserdeczniej wszyscy.
1177:  Sylwiaczek34 jeszcze pisze, że ma urodziny, moi drodzy, więc wszystkiego jamniczego na urodziny.
1183:  Wysyłam nasze cyfrowe torty, tym razem jest to podwójnie adekwatne, ponieważ torty są cyfrowe, więc są cyberpunkowe.
1189:  Proszę bardzo, everything is connected, everything is connected, mówiłem.
1193:  Och, a zatem, moi drodzy, już nie ma to tam, to odpalamy.
1203:  Teraz tak, krótka informacja.
1205:  W ramach tej naszej historii będziemy... Zaraz, momencik.
1209:  W ogóle, ha, ha, ha!
1210:  Archiwalne, archiwalne sejwy z 2016 roku, moi drodzy.
1216:  W ramach tej naszej historii będziemy także robili opowieści Jensena, desperackie środki, dziura w systemie.
1221:  Dziura w systemie jest chyba najlepsza, uwielbiam absolutnie.
1225:  To jest hajs na bank.
1228:  Heist Misja, rewelacja absolutna, a tej nie grałem w ogóle.
1232:  Dzisiaj kupiłem do DLC, nie wiedziałem, że jest.
1235:  Musiało mi umknąć i nie miałem.
1238:  Mam nadzieję, że głośność jest okej.
1241:  Sasha Dickichian to nikt inny jak Sonic Mayhem, autor legendarnego soundtracku do Quake'a drugiego.
1247:  CO?
1249:  No to wiele wyjaśnia.
