🔴 Wakacje w Teyvacie | GENSHIN IMPACT Livestream #15
🔗 https://www.youtube.com/watch?v=9ILtuiAVQFI

4:  Cześć.
11:  Dzień dobry.
40:  Zdjęcia i montaż
70:  Muzyka
103:  Muzyka
139:  Muzyka
168:  Muzyka
190:  Zdjęcia i montaż
282:  KONIEC!
341:  Muzyka
499:  Dziękuje za oglądanie!
517:  gdzie z kaszojadami dokonujemy rozbratu.
519:  Udało się zrymować.
520:  Witam najserdeczniej.
522:  Krzysiek Mastro, Illegal Death, Pitek Gros, Mandysi, Grzegorz Sikora, Agnieszka Saran, Nerk, Krzysztof S. Michał Kijowski, Melanfa, Magda M1, Pitek... Pitek...
533:  Pitekargos, Udało się, Pawełek, Serenoks, Viridian, 102, Ekspozja, Kwasu foliowego, Jakub, Alternatywka, Sąsiedztwa, Piotr Szajkowski, Agata Warsińska, Mikołaj Trąd, Szawel, Niewi, Absen, Sinetti, Haścik, Jakub, Emeryud, Witam serdecznie, Todachuar.
549:  który dołącza do grona wspierających.
551:  It just works!
553:  Witam Jakuba, Marcina Kowalskiego, Grzegorza, Melanfe, jeszcze Łukasz G. oraz Agata Warsińska i Regis Mieszko-Świerczyński.
562:  Przenosimy się pamięcią do Inazumy za sprawą tej muzyki.
565:  Najlepszy region, dalej.
566:  Lynn, witam na Instagramcie, Alison Imperium oraz Vile Gerbex, Sabina Watertree, Giaos, Uno Martino,
572:  i Haśnik, i Multiriffman, i Sebulba, oraz Karo, Roman Heretyk, Agnieszka, Krzysztof, następnych z Krzysztofów, Irena, Szczawiku, Wejli, i Sabina Łotoczy, i LabArt, i Szymon Nalewajko, witam najserdeczniej, Miriamka, Joanna Maślankiewicz, Klaudia Agustyniak,
593:  Wiktor Buszeko, Buszko, tak się czyta chyba, Magda, i Aduscytrus, i Jacek, oraz Ulkiorra, i Vlad Fonde, Sabina Mieszko, Lonely Sonny, Łypisz, Szczęśliwy Syzyf, Agata, Maku GPP, Iga Renda, Michał Kijowski, Jacek Palachowski, I Like Cheese, Rotmistrz Jan M.,
