🔴 Na koturnach trudno schodzi się ze sceny | LIVE #34
🔗 https://www.youtube.com/watch?v=PTPpN5rhl3k

140:  KONIEC!
165:  Witam serdecznie wszystkich zgromadzonych.
168:  Jak zawsze będę mieć trudność z zapanowaniem nad głośnością muzyki, więc w razie czego krzyczcie na mnie, gdyby coś nie wychodziło, ale wszystko wedle wskazań, przynajmniej moich, powinno być w porządku.
178:  Witam Was najserdeczniej na chyba już 34.
181:  Miałem podglądu w tym momencie na tytuł.
184:  live'a.
185:  W naszym spotkaniu z cyklu Ja odpowiadam, wy pytacie.
189:  I anegdotycznie tylko powiem, że ten cykl narodził się tylko dlatego, że parę osób, a w zasadzie paręset osób prosiło o to, żebyśmy zrobili Q&A na 10 tysięcy subskrypcji.
200:  No to tu jesteśmy przy 90 tysiącach subskrypcji, za które wam oczywiście bardzo serdecznie dziękuję.
206:  Ja, jak pisałem zresztą na fejsie, dzisiaj jestem człowiekiem, który się nie przejmuje metrykami, chyba że za tą metryką stoi jakiś człowiek.
212:  Więc cytowania tekstów naukowych, wyświetlenia czy subskrypcje, spoko.
216:  Oczywiście to jest zabawne, ponieważ YouTube akurat się tym w ogóle nie przejmuje, ale właśnie na tym polega głupota różnych systemów.
222:  Systemy nie przejmują się tym, co najważniejsze, tylko wciskają nam takie metryki, które...
227:  nie są ważne i za którymi nie stoi człowiek.
229:  Witam najserdeczniej zatem jeszcze raz wszystkich widzów stałych i niestałych, wszystkich subskrybentów, wszystkich wspierających kanał, dzięki którym ten obraz wygląda troszeczkę inaczej niż na początku, kiedy Krzysztof nagrywał na tle rozwłóczonego łóżka.
241:  Pierwszy odcinek dla każdego coś przykrego o nagrodzinikę.
245:  to znaczy nagrodzie Adidasa i od tego czasu nagroda Adidasa jest tak absolutnie, o ja by to ładnie ująć, mdła i mlazgrawa, o chyba to są przymiotniki, których szukam, że nawet nie było okazji, żeby się wyżyć po raz kolejny na polskiej kulturze pisanej przez C2OiL.
262:  Mam wreszcie internet na tyle dobry, żeby oglądać stream, pisze Akem MW.
266:  Ja cię bardzo dobrze rozumiem.
267:  Internet uważam jest w tym momencie najważniejszą częścią naszej piramidy Maslowa i to nawet nie jest moja przekorność, tylko głęboko uważam, że nie bylibyśmy w stanie nie tylko wtedy wypoczywać, ale przede wszystkim także łączyć się w społeczności, zarabiać pieniądze, pracować.
282:  Jestem w stanie zrozumieć, po raz kolejny to mówię w tym cyklu, wiem, ale może wsiąknie gdzieś, może do kogoś dotrze gdzieś, kto jest decyzyjny.
288:  że internet powinien być przyłączany dokładnie tak samo, jak jest przyłączana woda i prąd.
293:  I mam nadzieję, że tak będzie.
294:  Tak, zostało nam 10 tysięcy subów do serii z Reksia.
297:  Zobowiązałem się, że jak wybiję to magiczne 100 tysięcy, to zagram w Reksia.
301:  Zobaczymy, jak to będzie wszystko wyglądało.
303:  Dziękuję serdecznie Irenie za podarowanie wsparcia szafirowej.
308:  Tak, więc Reksia się, moi drodzy, bardzo zbliża.
310:  Zdecydowanie.
311:  Cholernie mi poczuła te okiena i przyszedł da w Mephisto.
313:  Ja tylko dodam, że przeprowadzałem się właśnie w takiej paskudnej trochę atmosferze, to znaczy jak dosłownie dwa tygodnie na
329:  przeprowadzką bodajże wywaliło mi nie tylko rurę w mieszkaniu, ale zalało całe mieszkanie takim czarnym szlamem.
336:  Więc nawet ubezpieczenie się nad tym pochyliło z troską, a wiecie, że w Polsce muszą się zdarzyć straszne rzeczy, żeby ubezpieczalnia pochyliła się nad czymś z dużą troską.
346:  Więc przerażające.
347:  34. live Krzysztof dobrze zapamiętał.
349:  Nie wierzę, moi drodzy, że to się udało.
351:  Czy polecisz jakiś fantaz, gdzie smoki współpracują z ludźmi?
354:  To jest akurat bardzo proste, moi drodzy, ponieważ to jest przecież Eragon, ale nie tylko Eragon, bo Eragon, myślę, Christophera Pauliniego może być względnie znany.
361:  Tam bardzo cenię ten tryb, w jaki sposób jest nawiązywana więź ze Smoczym Rycerzem, między Smoczym Rycerzem a Smokiem, ściślej rzecz ujmując.
369:  Najprawda, gdyby ktoś nie kojarzył Eragona.
376:  Ta stareńka, zaczytana rzecz, ojej, ona jest strasznie zaczytana, ona jest tak zaczytana, że ludzie nie lubią jak się czasem łamie książki, ja nie mam z tym żadnego problemu, ponieważ książka jest do czytania, potem widać, że była zaczytana.
388:  No i druga rzecz oczywiście to jest Ziemia Morze, moi drodzy Ursuli Le Guin, o którym już nawiasem mówiąc mówiliśmy sobie troszeczkę na naszych live'ach,
395:  z fantastyki.
396:  One będą powracać.
397:  W sierpniu będziemy mieli dwa odcinki jeszcze, a już były dwa.
401:  Jedno było takie wprowadzające w ogóle o fantastyce, czyli o fantasy, science fiction i horrorze, a później mieliśmy spotkanie wyłącznie o high fantasy.
409:  Jeszcze dziękuję armii za bycie jamnikami, wspieranie społeczności.
413:  Pięć wsparć zostało rozdanych, a to znaczy można używać jamników dla tych, którzy bywają rzadziej i nie wiedzą.
418:  Proszę o polecenie wartej przeczytania książki i serii fantasy, gdzie głównym bohaterem jest druid.
422:  Tu ci nie pomogę.
424:  Tak, albowiem chyba nie kojarzę żadnej książki czy powieści, w której rzeczywiście byłaby magia druidyczna.
431:  Prędzej kojarzę to z Heroes of Might and Magic 5, gdzie było wspaniałe siedliszcze elfów leśnych, w którym to mogliśmy rekrutować druidów i tu była bardzo potężna jednostka dystansowa, więc wiecie.
443:  Jowita czeka z niecierpliwością na tego Reksia.
