Najlepsze fantasy na Netflixie | SMOCZY KSIĄŻĘ. TAJEMNICA AARAVOSA (recenzja bez spojlerów)
🔗 https://www.youtube.com/watch?v=zVcwOa_KlJI

0:  Bardzo długo chciałem już Wam polecić serial Smoczy Książę na Netflixie.
3:  Jest jeden problem.
5:  To jest serial na Netflixie, więc doskonale wiem czego się obawiacie.
8:  Obawiacie się drugiego Wiedźmina, obawiacie się slapstickowego humoru, kiepskiej jakości produkcyjnej.
13:  Spokojnie moi drodzy, to jest serial animowany.
16:  Dlatego też od razu wiemy, że wszystkich tych rzeczy, które mamy w serialach aktorskich ostatnimi czasy, poczynając od Akolity, a kończąc na Rings of Power, tutaj nie uświadczymy.
26:  Z jakiegoś dziwnego powodu ostatnimi bowiem czasy w animacjach, w anime, mamy o wiele wyższy poziom aktorstwa, scenopisarstwa, efektów specjalnych, aniżeli w serialach aktorskich i to sprawdza się z...
39:  o bezwładniającą precyzją.
41:  Mogę spod dużego palca od razu wymienić produkcje, swoją drogą wszystkie recenzowane akurat na tym kanale, jak Castlevania chociażby, czy Arkane, czy Loved Event Robots, które są absolutnie obowiązkowymi, które trzeba zobaczyć po to chociażby, żeby odczarować sobie ten wybitnie polski
57:  stygmat, że och, tak, oczywiście animacja jest dla dzieci i nie warto się z tym zapoznawać.
62:  Absolutnie nie, to są historie o bardzo uniwersalnym przekazie, często nieprzemijającym i równocześnie podane w bardzo estetyczny sposób i też staram się za każdym razem, żeby te animacje, o których rzeczywiście mówię na tym kanale, nie tylko spełniały kryteria gatunkowe fantasy, ale też faktycznie były dobrymi produkcjami.
78:  I taką z nich jest Smoczy Książę, ale właśnie dopiero teraz.
81:  Dlaczego?
81:  Dlatego, że dopiero w szóstym sezonie
84:  Dostaliśmy historię, która jest wreszcie domknięta, to znaczy nie było takiego zakończenia z Cliffhangerem, z urwaną fabułą, tak?
91:  To po praktycznie każdym z ubiegłych sezonów, dopiero sezon szósty, zatytułowany też Tajemnica Ravosa, tak samo jak i poprzedni i będący ewidentną jego kontynuacją, przyniósł nam zakończenie, które nazwijmy jest otwarte.
104:  Nie jest właśnie urwane, nie jest przewcześnie zakończone, tylko otwarte.
109:  Stwarza pewną nadzieję na kontynuację, ale domyka najważniejsze wątki i pozostawia nas z takim uczuciem satysfakcji i spełnienia.
114:  Ale dobra, o co chodzi w tym serialu przede wszystkim?
117:  Wspaniala informacja jest taka dla was, jeżeli nie byliście zanurzeni do tej pory w tym świecie, że jest fantastyczna strona internetowa, gdzie możecie się z tym wszystkim zapoznać.
125:  Świat ten jest podzielony na dwie części.
128:  Po pierwsze...
129:  Jest to Xadia, czyli powiedzmy królestwa elfie magiczne, gdzie żyją smoki i królestwa ludzkie, w których rozpoczyna się nasza historia i śledzimy ją przede wszystkim z wykorzystaniem bardzo typowego narzędzia narracyjnego, jakim są tzw.
146:  POV characters, czyli mówiąc językiem
148:  narratologicznym, teorii narracji, fokalizatorzy, o Boże, wiem, strasznie to brzmi, a tak naprawdę chodzi o to, że ta kamera potrafi się fokusować na coś, co jest na pierwszym planie.
158:  Tak samo i w teorii narracji, nasza jakaś postać koncentruje się na tym, co widzi i to z jej perspektywy postrzegamy cały świat.
165:  I takich postaci jest parę, one się wszystkie łączą w bardzo sympatyczne wątki.
169:  Pierwszy wątek, że jakby główny, to ten, w którym przoduje Rayla, asasynka oraz Calum, młody mag z Królestwa Katolisk, który zresztą jest kimś w rodzaju przybranego syna króla Harrowa.
181:  Następnie mamy Ezrana, który jest młodym następcą tronu, a potem przyjdzie mu pełnić jeszcze jedną rolę, tyle wam mogę powiedzieć.
189:  Mamy niestety też sidekicków, to jest chyba taka najsłabsza część całego tego serialu, to znaczy pojawiają się tutaj takie...
196:  trochę żenujące wstawki humorystyczne z zwierzątkami przypominającymi Pokemony, które towarzyszą naszym postaciom.
203:  Nie mam zielonego pojęcia, po co to jest.
204:  Prawdopodobnie po to, żeby też dziecięca część widowni była usatysfakcjonowana.
209:  Ze mną to kompletnie nie rezonowało.
210:  Mamy chyba najlepszą, najświetniej napisaną postać całej tej narracji, to znaczy Lorda Virena, wysokiego maga.
217:  Już wiecie, ja kocham magów, w związku z tym jeszcze musi mi się podobać.
220:  który ma bardzo mroczną tajemnicę, nawet mroczniejszą niż tytułowa tajemnica Aravosa dla piątego i szóstego sezonu.
227:  Tenżeż mag ima się bowiem i para również czarną magią.
233:  Czarną magią, którą również zainteresowała się w którymś momencie jego córka Claudia, jak również przez nią w pewien sposób został dotknięty takoż i jego syn, to znaczy Soren.
245:  Co konkretnie, oczywiście wam nie zdradzam, ale wszystkie te wątki kulminują obecnie.
250:  To co...
251:  mogę śmiało powiedzieć to, że każda z tych postaci, jak widzicie, jest ich troszeczkę sporo, ma ważne miejsce w tej historii.
257:  Generał Amaya jest o tyle szczególna, że to jest jedna z nielicznych postaci, które pamiętam z w ogóle seriali jakichkolwiek, która jest, nie ma jej
266:  Jest ona świetnie zaprezentowana, to znaczy z wielką empatią i naprawdę dobrze się to wszystko ogląda.
271:  No dobra, ale po co te wszystkie postaci i to królestwo Xeidi i ta cała historia?
276:  No przede wszystkim po to, żeby zanurzyć się w innej rzeczywistości, która naprawdę oferuje wam coś, czego mam wrażenie inne seriale fantasy na tę skalę nie.
285:  No przede wszystkim, jeżeli chodzi o sam świat, to on jest bardzo zróżnicowany, mamy tam różne...
290:  rasy elfie, różne rasy ludzkie również i królestwa.
293:  I one wszystkie toczą ze sobą oczywiście, jak się można spodziewać, bój o władzę nad światem.
299:  No i oczywiście w tlesie pojawiają różnego rodzaju sekrety.
302:  Jednym z tych sekretów jest to, dlaczego smoki w ogóle z tego świata odeszły i dlaczego doszło do walki między smokami, a wszystkimi rasami Xeidi oraz królestw ludzkich.
310:  I druga część to jest tytułowa tajemnica Aravosa.
313:  Dlaczego elf tajemniczy, mianem właśnie Aravos, zaczął
318:  wpływać na ten świat, no i traktować wszystkich w nim mieszkających, zwłaszcza władających zaś potężną mocą, jako swe marionetki.
326:  I właśnie to o nim wreszcie dowiadujemy się czegoś więcej, zwłaszcza jeżeli chodzi o jego historię w tym ostatnim szóstym sezonie, gdzie przenosimy się na daleką północ, by poznać...
337:  Prawdopodobnie kogoś, kto również jest z jego rasy, na tyle na ile zdołałem to zrozumieć, to znaczy elfów, którzy potrafią czytać prawdę z gwiazd i są z tymi gwiazdami w sposób szczególny zjednoczeni i z tym się wiąże oczywiście specjalna gałąź magii.
352:  które uprawiają i tamżeż właśnie udają się nasi bohaterowie.
355:  Praktycznie wszyscy, ale przede wszystkim najważniejsi z nich, to znaczy wymienili na początku Calum oraz Ryla.
361:  To oni właśnie udadzą się na północ po to, żeby zdobyć tajemniczy artefakt.
365:  Nie wnikamy w to, o co chodzi konkretnie, dowiecie się tego z serialu, który ma mieć bardzo ważne znaczenie w pewnym rytuale, który ma zostać przeprowadzony.
373:  Tak się składa, że rytuałem tym zarówno zainteresowani są nasi bohaterowie, jak i elf Aravos.
379:  Najfantastyczniejsza rzecz, która się pojawia w tym sezonie, to oprócz fantastycznej bitwy, która też będzie, to jest właśnie historia Aravosa, której wcześniej nie znaliśmy, przez co również nie znaliśmy jego motywacji, nie wiedzieliśmy, co dokładnie rzutuje na jego ewidentnie złe działania.
394:  Równocześnie kulminuje tutaj wątek wysokiego maga Virena oraz jego córki Claudii.
400:  No i nasi bohaterowie, ci główni, dojrzewają.
402:  W zasadzie to jest ich główna funkcja.
404:  Ale to, co jest najpiękniejsze właśnie, to ten sekret,
407:  który tkwi u zarania tego świata.
409:  To właśnie uważam za rdzeń dobrej narracji fantasy czy narracji światotwórczej.
414:  Tajemnice, sekret, który jest odkrywany stopniowo, odrywane są kolejne jego warstwy i ujawnia się nam on jako centrum tego świata, wokół którego świat ów został skonstruowany.
425:  Tym jest moc w Gwiezdnych Wojnach, tym jest pierścień we Władcy Pierścieni i tym równocześnie są te wątki, nazwijmy to, historyczne, które się pojawiają w świecie Xeidi w Smoczym Księciu.
436:  Mogę śmiało powiedzieć, że jeżeli nie jesteście zainteresowani tymi bardziej pogodnymi, humorystycznymi wstawkami w tym serialu, po prostu możecie je przewijać śmiało, ja to robiłem, a zainteresować się bardziej tymi, które są, powiedzmy, dojrzalej poprowadzone.
449:  I też niech Was nie zwiedzie to, że to jest animacja i że Netflix kieruje ją do dzieci.
453:  To jest bardzo brutalna animacja, to o pierwsze.
456:  Tam się pojawiają sceny, które się nie pojawiały w wielu serialach aktorskich kierowanych do widowni PG-13.
462:  Wreszcie również jest to raczej dark fantasy aniżeli high fantasy miejscami, więc tego mroku jest sporo.
468:  Mroczna magia faktycznie jest przedstawiona jako mroczna magia, a nie po prostu coś, co zamiast płomieni o barwie czerwono-pomarańczowej wykorzystuje płomienie o barwie niebiesko-fioletowej.
479:  Nie, ta magia rzeczywiście jest mroczna i historie, z którymi powiązane są rytuały czarno-magiczne, przedstawione są w sposób rozdzierający serce.
487:  I to zwłaszcza dotyczy postaci, które już wymieniłem, więc nie będę spoilował których, ale jest to naprawdę bardzo dramatycznie przedstawione i w niesamowicie przejmujący sposób.
496:  Bardzo polecam.
497:  Tajemnica Ravosa, część pierwsza, czyli sezon piąty, bardzo mnie rozczarował i dlatego tylko nie zrobiłem recenzji, że wątek był urwany.
504:  Tutaj sezon szósty dla tych z was wszystkich, którzy śledzili Smoczego Księcia cały czas i jeszcze jakimś cudem nie obejrzeli ostatniego sezonu, podejmowany jest od razu od pierwszego odcinka bez specjalnych przestojów fabularnych.
515:  Bardzo polecam i tak, będę częściej polecał wam tutaj na kanale animacje, tak długo jak długo seriale aktorskie będą zasługiwały wyłącznie ze mojej strony na cięgi i smaganie biczem oraz knucikiem flagellacyjnym.
526:  To jest to samo nawiasem mówiąc.
528:  Więc mam nadzieję, że się wam spodoba i polecam.
531:  Do następnego.
