Przyczajony regres, ziewający smok | RÓD SMOKA — sezon 2 (recenzja)
🔗 https://www.youtube.com/watch?v=uWn0u08ZzqU

0:  Drugi sezon Rodu Smoka jest z pewnością godnym następcą Gry o Tron.
6:  Sezonu ósmego.
9:  Nie tylko dlatego, że jest krótszy od spodziewanej długości sezonu zarówno Gry o Trony, jak i Rodu Smoka, to znaczy 10 odcinków, ale przede wszystkim może dlatego, że popełnia ściśle te same błędy w zakresie prowadzenia narracji, tempa narracji, jego utrzymywania, jak właśnie sezon ósmy.
27:  Gdy trzeba i gdy scenarzystom jest to potrzebne do czegoś, to ohoho.
31:  nagle akcja przyspiesza, nagle są pokazywane kilkusekundowe wstawki, za którymi widz trudno nadąża i ma się zorientować, że tak, w tym momencie się przenieśliśmy 300 kilometrów dalej i to jest armia reprezentująca ten konkretny ród.
44:  Tak, mówię o ostatnim, o finałowym odcinku, a czasem jest bardzo długa, solenna rozmowa kompletnie nieobchodzących Was postaci, którą w serialoznawcy nazywa się złośliwie filler, więc są takie...
59:  Odcinki, które można nazwać filler episodes.
62:  Niestety sezon drugi Rodu Smoka jest w całości takim fillerem, w całości takim wypełniaczem, który ma sprawić, że będziemy czekać z tym większym wytęsknieniem na kolejny sezon.
73:  Bo tak, w zasadzie, mimo wszystkich i szumnych zapowiedzi, że oto będziemy mieli w tym sezonie starcie stronnictwa, nie czerwony, tylko czarny i stronnictwa,
83:  zielonych, czyli stronnictwa z jednej strony Rejnyry Targaryena, z drugiej strony Alicent Hightower i jej dzieci, przede wszystkim króla Aegona II Targaryena.
91:  Dostajemy
93:  Dostajemy obietnicę, że już w trzecim sezonie, ale pinky promise, obiecujemy, już w trzecim sezonie będą się ścierali, obiecuję, no tym razem już na pewno.
102:  W ostatnim odcinku armie maszerują wszystkich rodów Westeros, które się po obydwu stronach barykady ustawiły i już zmierzają, już momencik, tylko poczekajcie widzowie jeszcze te dwa lata i już ze sobą się zetrą.
115:  To jest dokładnie ten sam błąd, który był popełniony w ósmym sezonie, na który wszyscy czekali nie z uwagi na to, że ktoś był zainteresowany tym, jak skończy Arya Stark, tylko dlatego, że ludzie chcieli zobaczyć wreszcie to, co zobaczyli na samym początku, to znaczy bitwę z białymi wędrowcami, z innymi, jak oni są nazywani w książkach.
133:  pieśni lodu i ognia mianowicie.
135:  I tutaj chcieliśmy zobaczyć, jak dwie silne królowe, reprezentujące dwa skrzydła rodu Targaryenów z jednej strony, ale z drugiej strony również dwa stronnista polityczne, mające swoje racje po swojej stronie absolutnie i stuprocentowo, więc politycznie jest to konflikt zniuansowany, będą się ze sobą ścierać.
154:  Może na linii politycznej, może dyplomatycznej, może właśnie na ścieżce wojennej.
158:  A w zamian
159:  dostaliśmy trailer wydarzeń, które się będą rozgrywały w kolejnym sezonie.
163:  Czyżbym w tym momencie nie recenzował czasem czwartego sezonu The Boys zamiast drugiego sezonu Rodu Smoka?
170:  Bo chyba ten sam tutaj kłopot.
172:  I zawinili w obydwu przypadkach scenarzyści, bo jeżeli spojrzymy na jakość produkcyjną, House of the Dragon nie ma najmniejszych wątpliwości, że to jest najwyższy poziom, jaki jest w stanie w tym momencie dowieźć telewizja.
184:  Fantastyczne kostiumy, niesamowicie detaliczne.
187:  Dopracowana tym razem muzyka, z której wreszcie zaczęły się przebijać brzmienia tak charakterystyczne dla gry o tron.
193:  Light motiwy, czyli motywy charakterystyczne dla poszczególnych rodów palnujących.
197:  Bardzo dobre CGI, które wyróżnia sezon drugi na tle sezonu pierwszego zdecydowanie, gdzie widać było, że to co te smoki na green screenie naprawdę nie wyglądało to dobrze.
204:  Zresztą w ogóle w pierwszym sezonie niewiele tych smoków było, a tutaj wreszcie czujemy, że tak ścierają się ze sobą dwie strony rodu
213:  smoczych jeźdźców Targaryenu, więc tak będzie ogień i będzie krew tytułowa, tak jak w książce, na podstawie której jest ten serial, chociaż pamiętajmy, że ogień i krew nie ma jeszcze zakończenia, dokładnie tak samo jak pieśń lodu i ognia.
225:  I problem z tym serialem w zasadzie, jeden jedyny, jaki pozostaje, to problem, który równocześnie sprawił, że ludzie oglądali Grę o Tron, to znaczy problem dialogów.
235:  W Grę o Tron były one znakomite, memiczne, ludzie je zapamiętywali, przerzucali się nimi, szły one na koszulki.
242:  Tutaj
244:  Nie tylko dlatego, że nie są one dobrze pisane, bo nie są dobrze pisane, tak nawiasem mówiąc.
248:  Nie tylko dlatego, że Martin się w to mniej angażuje, ale przede wszystkim dlatego, że nie ma kto ich dowozić.
256:  Jak zobaczymy sobie na poszczególne wątki, Rhaenyra Targaryen jest zajęta głównie tym, że wzdycha, chodzi, dąsa się i pokazuje w zasadzie całą sobą, że absolutnie nie zasługuje na to, żeby być królową średniu królestw, ale absolutnie
271:  absolutnie na to nie zasługuje.
272:  Zapomnijcie w ogóle o krytyce Daenerys Targaryen.
276:  Daenerys Targaryen w zestawieniu serialowa Daenerys z Rhaenyra jest absolutnie wybitną monarchinią, świetnie nadającą się do tej roli.
284:  Rhaenyra pokazuje na każdym kroku, że jest pod pantoflem całej swojej małej rady i nie...
289:  Nie kończy się to również na Rejnerze.
291:  Dokładnie ten sam problem, tylko że w innym zamku, nie na Dragonstone, tylko w King's Landing, ma Alicent Hightower, która z kolei jest pod butem dwójki swoich synów.
300:  Z jednej strony jest to oczywiście panujący Aegon Targaryen, a z drugiej strony jest to
309:  Eamon Targaryen i najprawdopodobniejsze jest to, że Eamon Targaryen wyrasta tutaj w tym momencie na główną postać serialu i całego sezonu tak znakomicie jest zagrany i tak dobrze oddaje właśnie swoje motywacje, czyli coś, czego bardzo brakuje w przypadku innych postaci.
326:  Egon II dobrze również sobie radzi, ponieważ ma grać rozkapryszonego króla, który zostawszy monarchą w zasadzie nie orientuje się, co ma z tym fanpem zrobić, więc otacza się rycerzami w lśniących zbrojach i nudzi się na spotkaniach małej rady, bo przecież polityka to jest koszmarna rzecz.
342:  I ci ludzie komenderują Alicent Hightower i widzowie się aż przykro robi, że...
348:  Te dwie niesamowicie charakterystyczne, charyzmatyczne postaci kobiecy z pierwszego sezonu zostały sprowadzone do właśnie takiej roli, która, znaczy nie, umówmy się, nie jest aż tak zła, jak w przypadku biednego Daemona Targaryena.
362:  Daemon Targaryen został zesłany, a my razem z nimi, do gnijącego i wilgotnego Harrenhal po to, żeby przemierzać je,
369:  to również wzdychając, również ze smutną miną, chciałbym wyznaczyć nagrodę dla osoby, która znajdzie uśmiechniętą twarz w tym serialu, więc ze smutną miną, ze zgorzkniałą, Damon się przechadza tam, nawiedzają go duchy, ponieważ siedzi sobie na łożu z czar drzewa i czar drzewo nasyła na niego razem z Alice Rivers, która kombinuje
389:  trochę magicznie wokół niego, tam się wątek magiczny zaczyna pojawiać, jakieś dziwne wizje, które nie są wizjami przyszłości, które mogłyby być interesujące, prócz wreszcie tych, które się pojawiały w odcinku finałowym, tylko są wizjami przeszłości po to, żeby można było oczywiście pokazać do poprzednich akt
405:  Z poprzedniego sezonu, bo przecież trzeba jak zawsze fanów łowić na nostalgia, więc pokazali nam wizerysta Targaryena, pokazali nam aktorkę swoją drogą lepszą grającą wcześniej Rhaenyre Targaryen i to wszystko w zasadzie po nic, to znaczy zobaczyliśmy sceny, które już widzieliśmy w sezonie pierwszym.
420:  Nie miało to żadnego sensu.
422:  Więc jeżeli znajdzie się na ziemi jedna osoba, której się podobał wątek Daemona Targaryena, to zapewne mieszka ona w takim zatęchłym, zawilgoconym zamku, snuje się tam w powłóczystych szatach i czyta powieści gotyckie.
435:  Nie da się tego ani oglądać, ani zrozumieć.
438:  I przyznaję, to człowiek, który ma naprawdę bardzo nisko zawieszoną poprzeczkę, jeżeli chodzi o uwielbienie dla fantasy.
445:  Ja przeczytam wszystko, co ma etykietkę fantasy, obejrzę wszystko, co ma etykietkę fantasy, zagram we wszystko, co ma etykietkę fantasy, bo po prostu kocham ten gatunek.
455:  Ja nie mogłem już, nie mogłem już oglądać tego serialu w momencie, w którym się pojawiał wątek Targaryen.
461:  On nie jest najgorszy, bo jeszcze do tego wszystkiego mamy Corlisa Velaryona, który też nie wie, co ma ze sobą zrobić.
467:  Jest cała scena Corlisa Velaryona i Rhaenys Targaryen, którzy po prostu leżą i nic się nie dzieje i rozmawiają ze sobą.
476:  I w zasadzie gdyby podłożyć pod ten dialog rozmowę w stylu, no i co?
482:  No jak tam u ciebie?
485:  No dobrze jest tu.
487:  No dobrze jest, Colu.
488:  A jak tam u ciebie?
491:  No wiesz, co mogłoby być lepiej?
493:  Ale dobrze generalnie.
495:  i macie wrażenie, że tam nie miał kto napisać dialogu i to byłaby absolutnie święta prawda, bo dialogu w tym serialu jest jak na lekarstwo, a jeżeli chodzi o drugi sezon, jest naprawdę jeszcze gorzej, a naprawdę byłoby też o czym rozmawiać, są tutaj naprawdę zawiłe, trzeci raz powtarzam naprawdę i to jest przycisk enfatyczny, zawiłe intrygi, niesamowicie ciekawe wydarzenia i można byłoby o tym powiedzieć troszeczkę więcej,
521:  ale nie, scenarzyści decydują, że będą nas zasypywać filerami, wypełniaczami dialogowymi i wypełniaczami fabularnymi.
529:  Jeszcze jest wątek, wyodrębnie go, niech będzie, Rejny Targaryen, która się w którymś momencie udaje na poszukiwanie smoka,
539:  No i też w którymś momencie trafia do jakiegoś pokoju, do jakiejś komnaty, snuje się po niej, wpada do niej światło.
546:  Oczywiście wszystko jest skąpane w ciemnościach, w ciemniejszych barwach, w jakiejś ciemnej palecie barw.
552:  Jakieś wątłe światło się sączy z okien.
554:  Wy już... Wy macie, bo wiecie, że tam się nic nie stanie?
561:  Ale i tak nie umiecie uwierzyć w to, że żadna historia się za tym nie kryje.
566:  I nie byłbym tak złośliwy w wyodrębnianiu tych wszystkich wątków, gdyby nie to, że każdy z zaprezentowanych tutaj nie znajduje finału w odcinku finałowym.
