🔴 Piramidogłowi kontratakują — WARHAMMER 3 Tomb Kings #2
🔗 https://www.youtube.com/watch?v=cj_o-A_z5o4

42:  Dziękuje za oglądanie.
61:  Zdjęcia i montaż
100:  Muzyka
163:  Zdjęcia i montaż
202:  Dziękuje za uwagę.
245:  Muzyka
325:  Muzyka
358:  muzyka
474:  Muzyka Muzyka
517:  Dzięki za oglądanie!
529:  Dawno się nie widzieliśmy, moi drodzy.
531:  To oczywiście do wszystkich tych powitanie, którzy nie przybyli tutaj po prostu zobaczywszy Warhammera i Setre Nieśmiertelnego, tylko byli jeszcze na wcześniejszym, dzisiejszym streamie z Elden Ringa.
544:  Ale te dźwięki nie mogą nas mylić.
548:  Wracamy na pustynne wybrzeże Arabii.
551:  Wracamy do świata, który porzuciliśmy po to, żeby udać się do krajestwa cieni i na ziemię pomiędzy.
557:  A teraz wracamy do gry, w której mam ponad 3 tysiące godzin.
560:  Witajcie wszyscy najserdeczniej.
563:  Irena, nie wiem, co tu napisać, Melancholia Extra, Werd Grzegorz, Sikora, Simon, Padem i Frenes, Krzysiek, Tomasz, Jimenez, Lisowski, Harasland, Gorn, 2611, Magda M1, Graphic Witch, P. Gomeza, Tomaszu, Omaszu, Krystian, Agnieszka, Salam, Ania, Szymańska, Padem i Frenes, Marcin Mazurek, który pisze, że razem z opiekunem...
581:  rozpoczęli pracę nad artykułem naukowym.
583:  Trzymam kciuki Red Pencil, Simon Serenox, Belzar Ramsey i Prince Marshall, Jawowe Grimm, Karol Kowal, Darth Bigos Blitz, Patrycja B, Simon Liljovain, Irena, Karol Wojnarowski, Alezan Imperium, Maria Skoczylas, Nevrast, Eternitas, Molotow, Szymon Półtorak, wszyscy tęsknieni za Warhammerem, takoż niech będą powitani, Bodzio PB,
609:  I Tomasz jeszcze, i Michu Brc, i Magda M1, wynosowało bardzo dużo jamników.
614:  Sebulba, dziękuję za wsparcie od dwóch lat pełnych, 24 miesiące wsparcia.
618:  Eldynek zakończony już oficjalnie.
621:  Marian, Hubert Sokutwarowski, Lepre, Damian Kajm, Darw Bigos, jeszcze raz czytałem, Piotr Belzar, wiadomo kto, Pola Lonczyk.
630:  3R665, Klaudia Bejnar, Dominik 865, Wegeta 2332, Jackie Left, Maria, Bartosz Gromko, Kazerkoł Mak, Piekielno Jamniczego Ognia, to mu się coraz bardziej wydłuża, nick bardzo jamniczo, Evil Maciej, Azmo i Balrog70, Pawełek, Robert Kaniewski, Lucjan, PainHealer212, Bartosz, Olev Ales, Todd Howard, Leo Goch, Wędzant, Jakub Pawlarczyk, Grzegorz Silent, McFly, Arti Niezłomny, Todig the Bad, Onufry,
659:  Tarael Ulkiorra Nenu Santiago Lago Robert Kaniewski.
663:  Witajcie najserdeczniej moi drodzy.
665:  Co mogę powiedzieć?
666:  Wracamy do narodowego Warhammerzenia w tak zwanym międzyczasie jeszcze zapowiadałem i teraz ta zapowiedź powraca, że będziemy sobie też wracali do...
677:  Ghost of Tsushima, tak przypomniałem sobie.
679:  Trzeba sobie było przypomnieć tytuł wpierw, moi drodzy, tak to się podziało.
684:  A teraz jeszcze jedną rzecz muszę szybko zrobić, to znaczy sprawdzić, czy będzie się wam wyświetlał Warhammer, to byłoby dość fortunne.
691:  A właśnie jeszcze jedną muszę rzecz zrobić, widzicie, nie posprawdzałem, nie zobaczyłem sobie, że trzeba będzie teraz scenę zmienić, nie gameplay Souls-like, tylko będzie gameplay...
703:  Warhammer bodajże, tak?
704:  I teraz, teraz będzie git.
706:  No, no, no.
706:  Dobrze, dobrze.
708:  To teraz jeszcze przechwytywanie gry ogarniemy i będzie wszystko idealnie.
712:  Czułem wasz mości i raszczyk witam serdecznie.
715:  Oh, jaki pejczyk był w tle!
717:  Aaaa!
718:  Chlaść z pejczykiem!
720:  Chlaść!
720:  Nie ma to jak pejczyk.
723:  Leo go witam serdecznie w gronie wspierających.
726:  Krzysztof Egzot czytuje nazwy.
728:  Zawsze, zawsze.
729:  Pejczyk był cudowny.
733:  To oczywiście pejczyk od Rydwanu.
734:  To nie jest żaden slaneszowy pejczyk, moi drodzy.
738:  Nie ma to tamto.
740:  Leogoch, masz jamniki.
741:  To dobra wiadomość.
742:  U Krzysztofa mnie nie było chyba z cztery miesiące.
744:  To jest taki komfort.
745:  Ale się cieszę.
746:  Strasznie miło to czytać.
748:  Ania Szymańska pisze, złamała lewy bark.
750:  Jezus Maria, tu się bez przodu coś dzieje.
752:  Wszystkiego dobrego.
