Czy da się naprawić polski system edukacji? - Krzysztof M. Maj - Rozkwit Skrzydeł
🔗 https://www.youtube.com/watch?v=dcWd-Napm5U
KMM (Krzysztof M. Maj)
PO (Piotr Ogłaza)

0:  PO - Witam wszystkich w pierwszym podcaście projektu Rozfit Skrzydeł.
5:  PO - Gościem będzie Krzysztof M. Maj.
7:  KMM - Dzień dobry, witam wszystkich serdecznie i dziękuję za zaproszenie.
10:  PO - A prowadzącym będzie Piotr Ogłaza.
12:  PO - Krzysztof, czy mógłbyś powiedzieć trochę o sobie?
14:  KMM - Mógłbym, choć tego nie lubię tak wbrew pozorom, to znaczy zajmuję się światotworzeniem i projektowaniem gier wideo od strony narracyjnej na Akademii Górniczo-Hudniczej w Krakowie na Wydziale Humanistycznym.
26:  KMM - No a niezależnie od tego prowadzę kanał na YouTubie pod własnym imieniem i nazwiskiem, gdzie mi się zdarza rzeczone gry streamować, czasami o nich mówić, a najczęściej wspominać o tym, co jest częścią główną mojej pracy, czyli edukacji, kulturze, ewentualnie także literaturze, jeżeli takie tematy się nadarzą.
43:  PO - Tak.
44:  PO - Szczególnie wszyscy uczniowie uwielbiają Twoje, można by powiedzieć, odcinki teoretycznie naukowo przedstawione, różne aspekty związane ze szkołą.
61:  PO - Starasz się to tak jakby...
64:  PO - przedstawić jak bardzo jest to niefajne i tak naprawdę nie z dupy, tylko poprzedzając się takimi różnymi badaniami czy na przykład po prostu też różnymi takimi dosyć popularnymi artykułami.
81:  KMM - Dla mnie po prostu nie ma różnicy między edukacją, która jest wcześniejsza, a edukacją, która jest późniejsza.
88:  KMM - Więc jak patrzę na rozwój człowieka, to zasadniczo staram się na to spoglądać holistycznie, ogólnie, od samego początku do samego końca.
98:  KMM - Przez to też, że przeszedłem w którymś momencie przez trzy praktyki zawodowe w podstawówce, w gimnazjum jeszcze jak były.
105:  KMM - i w liceum, to miałem okazję zobaczyć, że co do zasady, jeżeli traktujesz człowieka jak człowieka po partnersku i z nim rozmawiasz, to już z samej takiej rozmowy może bardzo dużo wyjść.
