Jak komunikować się bez HEJTU? Paulina Mikuła @mowiacinaczej  i @KrzysztofMMaj | 55
🔗 https://www.youtube.com/watch?v=7aT8AEdgcPE
KMM (Krzysztof M. Maj)
PM (Paulina Mikuła)

0:  PM - Czasami ta druga strona wie, że ty to czytasz, a jednak potrafi ci wysmażyć takiego paszkwila, że mnie się na przykład kręci w głowie.
8:  PM - Ludzie też często mówią, po co słowo hejt, to jest nienawiść.
12:  PM - To nie jest nienawiść, bo nienawiść to jest uczucie, możesz nienawidzić w ciszy.
15:  PM - A do hejtu potrzebna jest akcja, musisz komuś napisać właśnie, musisz użyć języka, żeby był hejt.
21:  PM - Miałam hejt od początku, dlatego że byłam jedną z pierwszych kobiet, która nie nagrywała na temat kosmetyków, mody.
28:  PM - Tylko przyszłam i powiedziałam, ja was tutaj będę uczyć.
31:  PM - Oczywiście żartobliwie machałam tym paluszkiem, ale naprawdę nim machałam.
35:  PM - I ludzie się odpalili.
36:  PM - Nie brakuje w przestrzeni publicznej takiej sytuacji, w której usiedlibyśmy z takim nastawieniem, że ja próbuję zrozumieć ciebie, a ty mnie.
44:  PM - Bo my teraz siadamy do debaty z takim nastawieniem, że ja cię przekonam, że ty nie masz racji.
50:  PM - I to jest punkt wyjścia, który doprowadza do tego, że nienawidzimy się zamiast spróbować zrozumieć i do czegoś wspólnie dojść.
65:  KMM - Witam serdecznie dzisiaj w Bunkrze Nauki.
67:  KMM - Gościmy Paulinę Mikułę z kanału Mówiąc Inaczej.
70:  KMM - Jak to jest mówić inaczej?
71:  KMM - Dobrze?
72:  PM - Bardzo dobrze.
74:  KMM - Myślałem, że powiesz, że nie ma to tak.
78:  PM - Nigdy nie wiem, jak odpowiadać na to pytanie.
79:  PM - Bardzo dużo osób mi je zadaje i za każdym razem mnie zaskakują.
83:  PM - Jak to jest mówić inaczej?
86:  KMM - Może to jest po prostu nie poprawiać innych i nie być preskrypitywisto językowym wrednym.
93:  PM - Ale ostatnio nawet dostałam wiadomość na Instagramie, ha, po raz kolejny deskryptywizm wygrywa z preskryptywizmem.
100:  PM - I tak się zastanawiam, skąd ta niechęć ludzi do preskryptywizmu?
104:  KMM - No właśnie, co jest z nimi nie tak?
106:  PM - Ja nie do końca wiem.
106:  PM - Nie da się być też tylko preskryptywistą, moim zdaniem.
109:  PM - Zawsze jest miks.
112:  PM - Troszkę tak, troszkę tak.
114:  PM - Deskryptywizm polega na tym, że opisujemy język takim, jakim on jest.
117:  PM - Preskryptywizm dzieli język na formy poprawne i niepoprawne.
121:  PM - Pojawia się kategoria normy językowej.
123:  PM - Moim zdaniem normy są potrzebne, dlatego że dzięki nim wszyscy mamy te same zasady gry.
128:  PM - I bez względu na to, ile mamy lat, skąd pochodzimy, z którego regionu Polski, ten sam komunikat do nas trafia.
133:  PM - W takim samym stopniu możemy go zrozumieć.
135:  PM - Także bardzo to ułatwia nam życie.
137:  PM - Nie jestem w stanie sobie wyobrazić takiego świata, w którym każdy z nas mówi trochę swoim językiem.
141:  KMM - To prawda, ale zastanówmy się w jakich okolicznościach, może ty nawet najczęściej otrzymujesz tego rodzaju uwagi od ludzi, którzy mówią, że powiedziałeś coś źle albo niepoprawnie i tak dalej.
152:  KMM - To nie jest tak, że wytykamy sobie błędy wtedy, kiedy się nie zgadzamy i to jest taki łatwy wytrych i dzięki temu możemy kogoś... Gdy brakuje nam argumentów, no to tak, łapiemy za słówkę, ale ja staram się tego nie robić.
162:  PM - Kilka razy w życiu chyba puściły mi nerwy i napisałam...
166:  PM - A tu robisz błąd, ale już nie pamiętam, o które słowo chodziło.
171:  PM - Rzeczywiście musimy rozgraniczyć dwie rzeczy.
173:  PM - Dbałość o normy językowe i poprawność językową.
176:  PM - To jest jedna rzecz, ale wytykanie błędów to jest absolutnie coś, na co nie ma mojej zgody i kulturalny człowiek tego nie robi.
182:  PM - Zresztą na pierwszym roku studiów na wykładzie z kultury języka polskiego profesor powiedział, nie wytykamy ludziom błędów.
189:  PM - Jedyną rzeczą, jaką możemy zrobić, to jest użycie tego samego słowa w poprawnej formie.
193:  PM - To będzie delikatna sugestia do naszego rozmówcy, rozmówczyni,
197:  PM - że powiedział coś nie tak.
199:  PM - Raczej ludzie tego nie wychwytują mimo wszystko.
201:  KMM - Nie, nie, nie, to trzeba zrobić kilka razy.
204:  PM - Ale jeżeli już musimy, to tak.
207:  PM - I to jest koniec.
208:  PM - I nie wyobrażam sobie sytuacji, w której na przykład ktoś ze mną przeprowadza wywiad albo rozmawia, tak jak ty teraz, ze mną i ja co drugie słowo.
215:  PM - Chociaż w twoim przypadku nie ma takiego ryzyka, ale na przykład ktoś ma jakąś wpadkę językową i ja, przepraszam, nie tak tylko, za przeproszeniem,
224:  PM - Nie, nie powiem tego słowa.
225:  PM - Można tu przeklinać?
226:  PM - Nie można tutaj przeklinać, bo to jest... Można?
228:  PM - Nie tak tylko srak, prawda?
230:  PM - To miałam na myśli w głowie, ale to z tego względu, że troszeczkę o tego typu tematach rozmawialiśmy zanim włączone zostały kamery.
238:  KMM - Ale wiesz, mam wrażenie, bo chciałem jeszcze trochę to podrążyć, że głównie zwracają uwagę ludzie, którzy się kompletnie nie znają na tym, w jaki sposób należy się wypowiadać, nie znają norm językowych, wydaje im się, że coś zwiedzą, ponieważ pamiętają to ze szkoły, a najczęściej pamiętają to dlatego, że nauczyciel lub podręcznik to powiedział, a nie dlatego, że tak faktycznie jest w korpusie, albo że tak jest w zasadach gramatyki, klasyczny spór o fenomenatywy, o którym mieliśmy odcinek, którego też dotyczy, ludzie po prostu nie zdają sobie sprawy z tego, że te formy językowe istniały i powtarzają to, co
268:  KMM - poznali w szkole jako prawdę objawioną.
270:  PM - Ale czasami oni przekręcają to, co... I przekręcają, no.
273:  PM - Przekręcają, zapamiętują źle, albo też nauczyciele źle uczyli, bo sobie nie sprawdzili, nie odświeżyli wiedzy.
278:  KMM - Jezu, słuchaj, ja pamiętam, jak powiedziałem kiedyś w szkole, nie wiem, o swoim tacie i wjechała polonistka na białym rumaku i powiedziała, mówi się tatowi!
287:  KMM - A ja powiedziałem, nie, nie mówi się w ten sposób, proszę mi pokazać słownik, zacząłem się kłócić.
291:  KMM - No autentycznie, nie wiem, znała jakąś formę regionalną, nigdy nie spotkałem się z tym.
294:  PM - Ogólnie obie formy są poprawne, tak?
296:  KMM - No więc widzisz, i byłem zdumiony absolutnie, że w ogóle wiesz, wjeżdża z kontrą we mnie.
301:  PM - Tylko ze mnie się śmiano, kiedy ja właśnie użyłam formy tatowi.
304:  KMM - A widzisz.
305:  KMM - Klasa się ze mnie śmiała.
306:  KMM - No i to pokazuje absurd całej sytuacji, że nie sięgamy do źródeł, tylko wiesz, jest przyzwyczajenie językowe i to ono góruje w znacznym stopniu.
315:  KMM - Ja miałem też taką zabawną sytuację w życiu, że w mojej rodzinie przekręcano bardzo często idiomy.
322:  KMM - Ja nauczyłem się tych słynnych zasypywania, zamiast zasypiania gruszek w popiele i tak dalej, tudzież po... Na pokryłe drzewo i Salomon nie naleje.
331:  KMM - Tak, albo leje jak wół do karety, tak?
334:  KMM - Tudzież po tej najmniejszej linii oporu jest taka tycia linia.
338:  KMM - No i później człowiek się musi od tego odzwyczajać, ale od tego odzwyczajać.
342:  KMM - Natomiast problem polega na tym, że
344:  KMM - Nawet jeżeli coś takiego się pojawia w naszym języku, to nie traktujemy tego właśnie jako asumptu do żartów, tylko do tworzenia podziałów.
352:  PM - Tak, tak, tak.
353:  PM - Bardzo lubimy.
354:  PM - Nie wiem naprawdę z czego to... Znaczy wiem.
356:  S05 - No.
357:  PM - No szkoła nas tak nauczyła, że to jest zero-jedynkowa sytuacja.
360:  PM - Jeżeli nie wiesz, popełniłeś błąd, to jesteś dzbanem, nie łukiem.
364:  PM - Więc ja teraz pokażę swoją wyższość i ci powiem.
368:  PM - Zresztą ja w jednej ze swoich rolek użyłam sformułowania, a teraz na tapet weźmy kolejne trzy zmiany ortograficzne.
373:  PM - I dostałam komentarz, bierze się na tapetę pani Poliglotko.
380:  PM - Pan Mirek, pozdrawiam pana Mirka.
385:  PM - Ironicznie.
386:  PM - I to są takie komentarze, jeżeli się pojawia jeden, to jest śmiesznie.
391:  PM - Ale jeżeli takich komentarzy jest ze trzydzieści, jeden po drugim, jeden po drugim, to ja już jestem tym zmęczona.
397:  PM - Że tak każdy szuka dziury w całym.
399:  PM - A z tą tapetą, no to jest zabawna sytuacja, bo bardzo dużo osób zwróciło uwagę na to, że jak to tapet?
406:  PM - Co to jest tapet?
408:  PM - Ale mi zazgrzytało w uszach.
410:  PM - I teraz człowiek się boi użyć poprawnej formy, w pełni poprawnej formy, chociaż branie na tapetę już teraz też jest w normie, ale ja się boję użyć tej pierwotnie poprawnej formy, bo spotkam się z tym, że ktoś zarzuci mi niekompetencje, brak wiedzy, zresztą to samo jest dużą i wielką literą, ja już nie mam siły.
428:  KMM - Oj tak, tak.
429:  PM - Obie formy są poprawne.
430:  PM - Możemy pisać dużą literą, wielką literą.
432:  PM - Możemy od wielkiej, od małej.
435:  PM - Rusycyzmem jest z dużej litery, bo to jest kalka z bolszej bukwy.
439:  PM - Profesor Miodek stwierdził, że on lubi dużą literą.
442:  PM - Dla niego wielka litera jest dziwna, bo przeciwieństwo małej jest duże.
446:  PM - ludzie tego nie zrozumieli komunikatu, zrozumieli, że wielka to niepoprawna.
450:  PM - I teraz, gdy ja powiem wielką literą, no to zaraz, a profesor Miodek powiedział, weź przeczytaj jeszcze raz ten artykuł, to jest po pierwsze, a po drugie, jeżeli użyję sformułowania dużą literą, takie same głosy, tylko już bez profesora Miodka, że tak się po prostu nie mówi i jakoś tak nie potrafi, nie wiem, ja już bym chciała
469:  PM - Żeby ludzie odpuścili.
471:  PM - Bo nawet jeżeli użyjemy tego rusycyzmu, czyli najgorszej opcji, z dużej litery powiem, co się dzieje?
479:  PM - Odpowiedź brzmi nic.
482:  KMM - Tak, bo komunikat dociera, nie ma żadnego problemu.
486:  KMM - Ja zawsze ludziom tłumaczę, jadąc Austinem, że mamy tę naszą lokucję, perlokucję i illokucję.
493:  KMM - Więc jest intencja, czyli illokucja, jest perlokucja, czyli to, co chcemy sprawić za pomocą jakiegoś słowa.
498:  KMM - No i jest ta nieszczęsna lokucja.
499:  KMM - Ludzie się czepiają stwierdzenia, a nie myślą po pierwsze jaka jest intencja wypowiadającego i jaka jest właśnie ta sprawczość, o której ty mówisz.
506:  PM - Tak, tak.
507:  PM - Czy nasza wypowiedź osiąga swój cel?
510:  PM - W przypadku z dużej litery osiąga, więc tutaj chodzi o takie wymuskanie jakiegoś komunikatu, o formę.
516:  PM - Ale, a może skup się na tej treści.
518:  PM - Tym bardziej, że czasami pojawiają się artykuły o bardzo ważnych sprawach.
522:  PM - Na przykład pojawił się w wysokich obcach artykuł o Janie Jebą, która gościła tutaj w studiu.
529:  PM - I chodziło o jej samookaleczanie, o choroby też psychiczne, ale w lidzie użyto sformułowania naukowczyni.
536:  PM - To było w wysokich obcasach.
538:  PM - I ja oczywiście, no ja czytam komentarze, nie wiem, powiedzcie, że jestem szalona, spalcie mnie na stoś, ale ja czytam komentarze i to, co się w tych komentarzach działo, to aż...
547:  PM - Są takie chwile, kiedy się po prostu dziwię, ale są takie momenty, kiedy ja nawet w ciele czuję, że przechodzi mnie dreszcz.
555:  PM - Albo na przykład ktoś ostatnio był tak dla mnie niemiły pod humorystyczną rolką, że kiedy w pewnym momencie przeczytałam jeden z komentarzy, to aż zakręciło mi się w głowie.
565:  PM - Ja miałam mroczki przed oczami, bo byłam w takim szoku, że ktoś pod humorystyczną rolką tak mi pocisnął.
573:  PM - I tutaj musimy na to zwrócić uwagę, że
578:  PM - Język językiem, forma formą, ale umyka nam istota jakiejś rzeczy, jakieś ważne zjawisko społeczne.
586:  PM - I może zacznijmy rozmowę o tym, a forma już na przykład w wiadomości prywatnej do autorki artykułu, a nie w komentarzach.
597:  PM - Tak jakby się nie umyka nam istota w ogóle.
600:  KMM - Ale tu ruszasz też potężną sprawę, bo wydaje mi się, że to jest moja luźna hipoteza, odbij się od niej w razie czego, mianowicie, że przez to, że o czym dyskutowaliśmy trochę już zakulisowo, tak szybko doszło do rewolucji technologicznej, wszyscy zyskaliśmy prawa, które były kiedyś zarezerwowane dla użytkowników wysokiego języka, wysokiej polszczyzny, mianowicie prawa publikacyjne.
622:  KMM - I nagle wszyscy możemy pisać tweety, wszyscy możemy pisać posty i wszyscy możemy pisać komentarze, ale nie wszyscy mamy tę odpowiedzialność za słowo.
629:  KMM - To jest to, co powiedziałeś, że człowiek, który napisał ci ten komentarz pod rolką, on nie brał w ogóle pod uwagę takiego scenariusza, co ty będziesz czuł, jak to przeczytasz.
638:  KMM - A to jest coś, co zawsze bierze pod uwagę autor, który kieruje swój komunikat do czytelników albo projektant gry, albo reżyser filmu, jednak bierze odpowiedzialność za słowa, które padną.
649:  PM - To nie była tego typu sytuacja.
650:  PM - Rzeczywiście czasami widzę, że odbiorcy traktują mnie jak awatar i kiedy ja się odezwę, hej, dlaczego coś takiego napisałeś, to oni, przepraszam, nie sądziłam, że przeczytasz.
659:  S02 - No tak, tak.
667:  PM - Rolka była o tym, jak o nieprzyjemnych rzeczach albo takich niekoniecznie pozytywnych mówić w ładny sposób.
677:  PM - Można to powiedzieć brutalnie, a można coś powiedzieć w mniej brutalny sposób.
680:  PM - I to było zachęcenie do tej drugiej opcji.
682:  PM - Na przykład zamiast komuś mówić jesteś głupi, możemy powiedzieć mądrość cię goniła, ale ty okazałeś się szybszy.
690:  PM - Rolka była humorystyczna.
693:  PM - Na przykład zamiast mówić nie wiem, nie wiem, nie wiem, nie jestem depozytariuszem tego rodzaju wiedzy.
698:  KMM - Tak.
699:  PM - Użyłam tylko na egzaminie.
702:  PM - u egzaminatora, którego osobiście znasz, bo o nim rozmawialiśmy.
706:  PM - I trzeci tekst był taki, zamiast powiedzieć, że ktoś walnął durnotę, można powiedzieć, ta wypowiedź nie była sukcesem intelektualnym.
714:  PM - I to były trzy tego typu teksty.
716:  PM - Opis, rolka jest humorystyczna.
718:  PM - Ale pan się przyczepił do tego, że co to w ogóle za humor?
722:  PM - Tak naprawdę to jest agresja i to nie jest w ogóle śmieszne.
727:  PM - Ja odpowiedziałam, proszę pana, pan ma takie poczucie humoru, ja mam inne, w ogóle możemy się rozejść, sprawa ustalona.
732:  PM - Ale on ciśnie dalej.
734:  PM - I w pewnym momencie wstawiła się jakaś kobieta za nim.
737:  PM - I ja, humorystycznie też, przepraszam, to jest śmieszne, zapytałam, żona?
746:  PM - I on wtedy się tak zagotował.
749:  PM - I właśnie, ja jestem w takim nastroju, ha, ha, ha, żona?
753:  KMM - A on, fu!
757:  PM - Taki tekst na temat tego, to ja już teraz wszystko o pani wiem.
761:  PM - Sama się pani odkryła tym komentarzem.
764:  PM - Nie wiem, może to była kochanka.
766:  PM - Nie wiem, ale chodzi mi o to, że czasami ta druga strona wie, że ty to czytasz, a jednak potrafi ci wysmażyć takiego paszkwila,
777:  PM - że mnie się na przykład kręci w głowie, bo ja już też po 11 latach mam granicę.
781:  PM - Bo to jest tak, że okej, masz kanał na YouTubie, sama się wystawiasz.
787:  PM - Ale sobie wyobraźcie, że pracujecie na kasie w supermarkecie i klienci mówią cały czas, pracuję na kasie, się wystawia.
796:  PM - No co, muszę patrzeć na kasierkę?
797:  PM - Muszę, czyli mi się wystawia.
799:  PM - Więc klient każdego dnia mówi, brzydka fryzura, proszę pani.
803:  PM - niby dobrze pani liczy na tej kasie, ale nie podoba mi się wyraz pani twarzy.
807:  PM - Ja muszę na panią patrzeć.
809:  PM - Mam prawo wyrazić swoje zdanie.
811:  PM - Jeżeli pani na przykład przeszkadza to, że ja wyrażam swoje zdanie, to niech pani pracuje w magazynie, a nie tutaj na kasie, żeby się wystawiać.
818:  PM - I teraz wyobraźcie sobie, że ja jestem panią, która pracuje na kasie, tyle że nagrywam filmy na YouTubie.
824:  PM - I pod każdym filmem słyszałam, że coś jest nie tak z moimi brwiami, z moimi włosami, że przytyłam, że schudłam, że zbrzydłam.
831:  PM - Ostatnio dowiedziałam się, że taka stara jeszcze nie masz dzieci.
