Jak stworzyć GRĘ WIDEO, która wciąga? @KrzysztofMMaj  i Krzysztof Kluza | 53
🔗 https://www.youtube.com/watch?v=4OuMFCRt1ZM
KK (Krzysztof Kluza)
KMM (Krzysztof M. Maj)

0:  KMM - Czy trzeba wyjść z domu o zgrozo i wyjąć telefon i szukać jakichś rzeczy w naszej rzeczywistości?
5:  KMM - To jest koszma, mogę sobie wyjąć Google Maps i szukać najbliższej żabki i będzie to dla mnie to samo.
10:  KMM - To w grze wideo jesteśmy w stanie przeczytać książkę, obejrzeć film, obejrzeć serial i zagrać w inną grę wideo.
16:  KMM - Czyli to jest najbardziej pojemne medium.
18:  KMM - Jeżeli widzisz w grze wieżę na horyzoncie, to ty zaczynasz robić dokładnie to samo, jak w literaturze czytasz o tym, że bohaterowie zmierzają do zamku.
27:  KMM - Myślisz to samo.
28:  KMM - To znaczy, zaczynasz sobie wyobrażać, co będzie w tej wieży.
30:  KMM - HBO zatrudniło ksenolingwistę, czyli projektanta języków sztucznych, Davida Petersona do tego, żeby zaprojektował język do traki, czyli ten język, którym się to nomadyczne plemię posługiwało, do którego trafiła Daenerys Targaryen.
44:  KMM - No i ktoś mógłby powiedzieć, że przecież on mógłby mówić garlżawaliźnijim.
47:  KMM - I to nie ma żadnego znaczenia.
49:  KMM - No, spoiler alert, ma znaczenie.
50:  KMM - Światotwórstwo, jeśli czegoś wymaga,
53:  KMM - To moim zdaniem w mniejszym stopniu talentu, mistrzostwa, wirtuozerii, jeśli chodzi o kunsztowne operowanie słowem, ale na pewno wymaga braku lenistwa.
63:  KMM - Znaczy nie można być leniwym.
71:  KK - Cześć, dzień dobry, witamy w Bunkrze Nauki.
73:  KK - Ja nazywam się Krzysztof Kluza, a dzisiaj naszym gościem jest Krzysztof Maj.
79:  KK - Krzysztofa Maja bardzo dobrze znacie, bo jest też prowadzącym Bunkier Nauki.
85:  KK - Oprócz tego jest adiunktem w Katedrze Technologii Informacyjnych i Mediów.
92:  KK - No i oczywiście youtuberem, którego pewnie fani, fanki również tutaj oglądają.
100:  KMM - Guilty as charged.
102:  KMM - Witam serdecznie.
