Jak wyrażać EMOCJE nie raniąc innych? Małgorzata Majewska i @KrzysztofMMaj | 54
🔗 https://www.youtube.com/watch?v=ALkJDuJKjtQ
KMM (Krzysztof M. Maj)
MM (Małgorzata Majewska)

0:  MM - Język ci bardzo wyraźnie pokazuje jedno.
2:  MM - Kogo chce blisko, kogo chce daleko.
4:  MM - I teraz zobacz, jeżeli ja mam odrobiną lekcję z ważnością swoją, czyli ja nie potrzebuję od ciebie walidacji, że jestem ważna, to ja przychodzę do ciebie i mówię, stary, jak jeszcze raz tak mnie potraktujesz, jak zostawię twój kubek nieumyty, to ja po prostu nie będę chciała cię blisko.
19:  MM - Ja myślę, że my nie jesteśmy w takim treningu społecznym uczeni tego, że mamy prawo do odmowy bez tłumaczenia się.
27:  MM - że zwróć uwagę, że ja to zauważyłam w języku, że bardzo często, kiedy ja odmawiam z miejsca prawa do odmowy, bo nie muszę czytać czyjeś książki w wolnym czasie, to ludzie to odbierają jako odrzucenie.
37:  MM - Czy ona, pierwsza reakcja jest, bo ja?
39:  MM - Na przykład, ale jestem głupia?
41:  MM - Czy reakcja jest, bo ty?
44:  MM - Wkurzyłeś mnie?
45:  MM - Czy reakcja jest taka, no wiesz, jaki ten świat jest okropny.
47:  MM - Bo że jesteśmy przy polskiej szkole, to ja bym się przytrzymała przy narracji rady.
52:  MM - Że zwróć uwagę, że bardzo często jest tak, że kiedy coś nam nie wychodzi, to dla bardzo wielu ludzi formą miłości i troski jest poradzenie nam, jak powinniśmy zrobić.
61:  MM - Bo teraz analizujemy na stylistyce takie konstrukcje, uwaga, no nie, nie no, no i, no, no właśnie.
69:  MM - I teraz zobacz, polska gramatyka w ogóle nie zauważa tych konstrukcji.
78:  KMM - Witam serdecznie w Bunkrze Nauki.
80:  KMM - Kolejny odcinek będziemy mieli tym razem o języku.
82:  KMM - Jest z nami Małgorzata Majewska z Wydziału Dziennikarstwa i Komunikacji Społecznej sąsiedniej uczelni Uniwersytetu Jagiellońskiego.
90:  KMM - Witam cię serdecznie.
91:  KMM - Dzień dobry.
92:  KMM - No to może na sam początek, ponieważ jesteśmy w...
95:  KMM - szybie kopalnianym i robi się bardzo konkretnie, technicznie, ściśle.
99:  KMM - Powiedz mi, jak uważasz jako językoznawczyni, czym jest sens w dalszym ciągu dzielić nasze społeczeństwo na ścisłowców i humanistów i twierdzić, że tylko ci drudzy muszą znać język?
110:  MM - No ale polaryzacja jest wygodna, bo wtedy wiemy kto jest naszym wrogiem, nie?
113:  MM - To znaczy naszym wrogiem jako humanistów jest osoba ścisła, a dla ścisłowców my gadamy głupoty.
119:  MM - A poważnie mówiąc, to wiesz, to jest taka iluzja, że my w ogóle jakikolwiek podział możemy narzucić, bo on się sam wytworzy.
126:  KMM - A z czego się wytwarza, jak myślisz?
127:  MM - Wytwarza się z tego, że potrzebujemy mieć granice wspólnoty.
130:  MM - I teraz zwróć uwagę, że oczywiście tą granicą, kiedy ja przynajmniej słyszałam całe życie, że się nie nadaje do matematyki, to chociaż tego polskiego, żebym dobra była, to była taka granica narzucana, no absurdalnie kulturowo, ale jak to mi zabierzesz, to zaraz co innego wymyślimy.
146:  MM - Prawda?
146:  MM - Dlatego, że my mamy bardzo małą taką świadomość tego, że my potrzebujemy wiedzieć, kto jest nasz, a kto jest poza nami.
153:  MM - W związku z tym za nas to robią politycy, za nas to robią różne ruchy, za nas to robią różne ideologie, religie, bo one wtedy ci podpowiedzą, kto jest twój, kto jest nie twój, a tak naprawdę każdy z nas tęskni za jednym, za takim światem, który się będzie czuł bezpiecznie.
168:  MM - A bezpieczne jest to, co przewidywalne.
171:  MM - A przewidywalne jest to, co znajome.
173:  MM - Więc nawet mimo, że znamy się, rozumiem, od 10 minut, jak wiem, że jesteś humanistą, to jesteś mi bliższy, niż gdybym się dowiedziała, że na przykład jesteś po AGH.
181:  MM - Z całą sympatią dla AGH.
183:  MM - Dlaczego?
184:  MM - Dlatego, że tam jest taka obietnica, że są jakieś takie kawałki świata, które widzimy podobnie.
189:  MM - My humaniści.
190:  MM - Bo zobacz, to cały czas chodzi o to.
191:  MM - My humaniści.
193:  MM - My językoznawcy, my ścisłowcy, my agiechowcy, my krakusy, my Polacy i tak dalej.
198:  MM - Cały czas chodzi o to, co rozszerzymy po my, bo wtedy to nam daje poczucie bezpieczeństwa.
203:  KMM - Tylko, że ten problem z my jest taki, że zawsze konotuje drugą stronę, czyli oni, prawda?
208:  KMM - I tutaj wkraczamy do tej bardzo problematycznej sfery polaryzacji w naszej współczesnej kulturze.
213:  KMM - Ona jest nie tylko w Polsce, myślę, że się zgodzisz, prawda?
215:  KMM - jest wszędzie i zaczyna być rzeczywiście problematyczna.
218:  KMM - To znaczy przez to, że mamy bańki medialne filtrujące, przez to, że mamy te społeczności maleńkie i trybalizacje, no to zaczynają się te różnego rodzaju tarcia.
227:  KMM - I czy myślisz, że jesteśmy w stanie rozstrzygnąć jakoś ten problem właśnie przez lepszą edukację językową, komunikacyjną, czy też może właśnie, tak jak mówisz, są plusy tego, że mamy takie mikrospołeczności, będziemy się w nich dobrze czuć, algorytm będzie od nas jakiś dbał, będziemy widzieli tylko to, co chcemy,
245:  KMM - I w sumie przecież o to też powinno chodzić w przestrzeni medialnej, żebyśmy mieli trochę oddechu od świata rzeczywistego, gdzie od tych podziałów nie uciekniemy.
253:  MM - No tak, ale gdybyśmy mieli wiedzę, jak to się dzieje i jak ten mechanizm działa, to sami tym zarządzamy.
258:  MM - Sam zarządzasz, kto jest w twoim stadzie, kto nie.
261:  MM - Jeżeli my tego nie wiemy, a polska edukacja na przykład kompletnie pomija ten aspekt, bo to by trzeba fajnie uczyć gramatyki, bo gramatyka nam pokazuje, kogo masz blisko, a kogo masz daleko.
272:  MM - to wtedy za ciebie to robi partia polityczna, która dobrze językowo skonstruuje komunikat do ciebie, czy jakaś sekta, czy jakiś ruch religijny.
282:  MM - Więc tutaj dla mnie cały czas obija się to o sprawczość.
286:  MM - Jest taka przepiękna książka Hanny Kral, Sublokatorka, i tam na końcu Hanna Kral wymienia warunki przetrwania.
