Krzysztof M. Maj - szczęśliwy jak JAMNIK || W sumie ciekawi ludzie @KrzysztofMMaj
🔗 https://www.youtube.com/watch?v=yzBa4XN-e8w
SR (Szymon Rusnarczyk)
KMM (Krzysztof M. Maj)

0:  KMM - Ja mam złą pamięć, ale chyba ja już po tę książkę w tej jaskini raz chodziłem.
6:  KMM - Dostałem po głowie od życia jako człowiek, który zawsze z wszystkiego był najlepszy.
10:  KMM - I nagle się okazało, że to nie wystarczy.
13:  KMM - I to jest bardzo bolesna lekcja.
14:  KMM - Jest tak, że rodzic krystalizuje się gdzieś w jakimś, nie wiem, zagajniku, gdzie jest porost tyberium, jak w Command & Conquer, i wykrystalizuje się rodzic.
25:  KMM - On gdzieś się uczy, tak?
26:  KMM - Tak.
27:  SR - Każdy Polak powinien mieć krzesło na brudne ciuchy.
30:  KMM - Oczywiście, oczywiście, że tak.
32:  KMM - Powiesz Jamnikowi, że mu nie wolno wejść pod koc, Jamnik spojrzy, czy ciebie nie ma i wejdzie ci do wewnątrz poduszki, tak?
39:  KMM - Rozerwie ją i wejdzie do środka, bo on potrzebuje mieć norę.
42:  KMM - Trudno, nic nie zrobisz z tym, nie jesteś w stanie tego zmienić.
49:  SR - Najlepszy świat fikcyjny.
51:  KMM - Ulubiona gra?
66:  KMM - No i to jest bardzo trudne pytanie, z tego względu, że jak zawsze, jak jest ulubiona gra, książka i film, to ja wymieniam albo coś, co pamiętam od tak, bo mi się przypomniało, albo coś, do czego często wracam, więc wymienię to, do czego najczęściej wracam.
79:  KMM - Rzeczywiście gra, do której będę najczęściej wracał w kategorii strategie, to będzie Command & Conquer, Kane's Wrath.
86:  KMM - Jeżeli chodzi o... bo muszę gatunkami, no nie da się inaczej.
89:  KMM - Jeżeli chodzi o gry Tower Defense, będzie to Death Trap.
93:  KMM - Albo GemCraft.
94:  KMM - Jeżeli chodzi o gry RPG, to będzie Skyrim.
97:  KMM - Jeżeli chodzi o gry narracyjne, takie stricte narracyjne, to chyba najczęściej wracałem do Life is Strange.
105:  KMM - Ciekawe też to jest, tak z tego drogu.
108:  KMM - Ale widzisz, muszę wymienić gatunkami, bo zbyt złożone medium w tym momencie, żeby przestać tylko na jednym.
114:  SR - A ulubiona scena z gry?
116:  KMM - Obóz koncentracyjny w Detroit w Become Human.
119:  SR - Niedoceniana bądź mało znana gra, ale ją polecasz?
122:  KMM - Two Words 2 to jest jedna z takich starych bardzo gier, dziedzictwo Gothica, ale mało znane z uwagi na system craftingu zaklęć.
132:  KMM - Jeden jedyny raz, kiedy czułem, że jestem faktycznie magiem, który poszukuje mocy i kiedy mogłem stworzyć kulę ognia, która mnie leczyła obszarowo.
140:  KMM - Bo w Two Watch 2, dopowiem, bo może mogą ludzie nie wiedzieć, był taki system kart, które mogliśmy rozbijać na karty podstawowe, kartę zaklęcia, karta modyfikatora i karta jeszcze jakiejś zdolności specjalnej.
152:  KMM - Mogłeś z tego tworzyć potencjalnie niekończącą się kombinację różnych zaklęć.
156:  KMM - Oczywiście to jest też rzecz, która mi wpadła teraz do głowy, bo pewnie takich niszowych tytułów znalazłoby się więcej.
161:  SR - Ulubione miejsce na Ziemi?
164:  KMM - Moje.
167:  KMM - Ale autentycznie, to znaczy miejsce, w którym jestem ja jest moim ulubionym miejscem na ziemi, niezależnie od tego, gdzie się znajdę.
173:  KMM - Bo ja sobie stwarzam podłóg siebie i za każdym razem dbam o to, żeby ono było jak najlepsze.
179:  KMM - Jestem typem, który potrafi nie jechać na wakacje 10 lat, byleby pojechać w to miejsce, w które będzie rzeczywiście odpowiadało mi.
185:  KMM - Nie umiem
187:  KMM - przyjąć takiej mentalności globetrottera, że pojadę sobie o plecaczek, namiot i jadę.
192:  KMM - Nie byłbym w stanie, byłbym nieszczęśliwym człowiekiem.
195:  KMM - Muszę sobie pojechać w konkretne miejsce, ważny jest hotel, ważne jest miejsce, ważna jest to, jaka jest kuchnia wokół, więc rzeczywiście, jeżeli gdzieś się wybieram i wyjeżdżam, to staram się, żeby to było coś specjalnego.
206:  SR - Robisz głęboki research.
207:  SR - Tak.
208:  SR - Moja żona robi głęboki research zawsze, jak jedziemy gdzieś, gdziekolwiek, to pierwsza rzecz, którą sprawdza, czy hotel ma dobrą łazienkę.
216:  SR - Łazienka to jest podstawa.
218:  SR - Najlepszy rodzaj pizzy.
219:  KMM - Memicznie bym chciał odpowiedzieć, że hawajska.
221:  KMM - Ale faktycznie?
224:  KMM - Faktycznie najbardziej będę lubił pepperoni, ale musi mieć określone dodatki, to znaczy muszą to być anchois i musi tam być jeszcze dodatkowo czarna oliwka.
233:  KMM - Wtedy jest idealnie.
234:  SR - Anżła się nie spodziewałem.
235:  SR - Kontrowersyjnie, ale ciekawie.
238:  SR - Sernik z rodzynkami czy bez?
239:  KMM - Bez.
240:  KMM - Sernik z rodzynkami to jest rodzynnik, umówmy się.
242:  SR - Kotlet schabowy czy mielony?
244:  KMM - Schabowe, zdecydowanie.
245:  SR - Jordan przy tym pytaniu się mnie spytał, co to jest kotlet mielony.
250:  KMM - Ja znam to jako schnitzel.
251:  KMM - Schnitzel.
253:  KMM - Stara, dobra, niemiecka kuchnia.
256:  KMM - I schnitzel nie lubiłem z tego względu, że tam zwykle jest dodawana cebula, a ja mam alergię na cebulę i czosnek.
263:  KMM - I faktyczną, pokarmową, i alergię w sensie, że bardzo nie lubię.
267:  SR - Kurczę, to cię masa kuchni omija, w sensie dużo smaków.
270:  SR - A ulubiony mem?
271:  KMM - Najczęściej chyba przywołuję wszystkie memy z Shivem Palpatinem, tak mi się wydaje, że one będą najczęstsze rzeczywiście.
279:  KMM - Zwłaszcza ten mem, w którym Shiv robi
283:  SR - To jest to.
284:  KMM - To jest, tak.
284:  KMM - On jest chyba najbardziej wymowny.
286:  SR - Okej.
286:  SR - Ulubiona książka?
287:  KMM - Ten sam problem, co przy ulubionej grze, tak, że musimy to rozdzielić na gatunki.
293:  KMM - I to bardzo w złożony sposób.
295:  KMM - Książka, do której najczęściej wracałem w życiu, to było siedmiu książek Pottera.
299:  KMM - Trzynaście razy w sumie.
301:  KMM - Jeżeli chodzi o rzecz, do której bym mógł wracać w nieskończoność, zdecydowanie więcej niż trzynaście razy, Silmarillion J.R.R.
309:  KMM - Tolkiena.
310:  KMM - Jeśli chodzi o książkę, którą najwyżej cenię z wszystkich powieści fantasy, to będzie to cała trylogia, która jeszcze jest niedokończona, więc dylogia na razie, Patricka Rothfusa, Kroniki Królobójcy, ściśle mówiąc, Imię Wiatru, tom pierwszy.
323:  KMM - Jeśli chodzi o książkę, do której mam największy sentyment fantasy, będzie to Gwiezdny pełni dla Gejmana.
329:  KMM - Jeśli chodzi o książkę science fiction,
332:  KMM - Cokolwiek Janusza Zeidla możemy wziąć i będę zadowolony.
336:  KMM - Lema nie lubiłem nigdy.
337:  KMM - Jeśli chodzi o książkę aforystyczną, myśli nieuczesane Stanisława Jerzego Leca.
343:  KMM - Jeśli chodzi o książkę, która nie jest powieścią fantasy, to będzie to...
349:  KMM - Albo małe duże Johna Crowleya, albo Gormenghaza Merwina Peake'a.
353:  KMM - A jeśli chodzi o tak zwaną klasykę, chociaż strasznie nie lubię tego określenia, to mam wrażenie, że największe wrażenie zrobiła na mnie Czardziejska góra Thomasa Manakiego, jeśli to było jeszcze w czasach licealnych, bardzo, bardzo dawno temu.
366:  KMM - A jeśli chodzi o poezję, to William Butler Yeats.
368:  SR - Czy znajdujesz czas na książki, które są bardziej naukowe w tym wszystkim?
375:  KMM - Nie, książki naukowe nie służą do czytania.
376:  KMM - Książki naukowe służą do wykorzystywania.
378:  SR - Do researchu.
379:  SR - Ale znajdujesz na to czas, faktycznie.
380:  SR - Nie no, tak no, muszę, bo raczej się nie da napisać... Właśnie o to mi chodzi, bo grasz w gry, czytasz książki i jeszcze jest research.
386:  KMM - To jest dopiero... No tak, tak, ale research zajmuje z tego najszybciej, bo ja przyzwyczajony jestem do skanowania tekstu naukowego.
392:  KMM - Jeżeli czytam jakąś książkę naukową, to ją czytam latami.
395:  KMM - Więc to nie jest tak, że nawet powiedziałbym, że to jest złe, jeżeli ktoś chce się przygotowywać, żeby przeczytać jakąś czyjąś książkę w całości, bo wtedy nasiąkasz cudzymi ideami i zaczynasz myśleć nie jak ty.
405:  KMM - A jeżeli korzystasz rzeczywiście z fragmentu, to jest insza inszość wtedy.
409:  KMM - Więc ja się nawet staram, żeby nie przeczytać jakiejś książki, bo wtedy możesz wpaść w czarną dziurę i w nieskończoność poszukiwać nowych wątków, zamiast żeby iść dalej ze swoimi rozważaniami.
419:  SR - Kto cię inspiruje w życiu?
420:  KMM - Jeżeli chodzi o autorytet jakiś, który miałem naukowy, to byłby to Umberto Eco.
424:  KMM - Przez większą część mojego życia.
427:  KMM - Naukowy, podkreślam.
428:  S00 - Bo jeżeli chodzi o takie inspiracje inne, życiowe, to to się oczywiście zmienia.
442:  SR - Jak to się stało, że nagrałeś swój pierwszy film pod tytułem Radek Rak z Nagrodą Nike?
448:  KMM - Wiesz co, to jest zabawne, bo ja zawsze to pisałem na fejsie, to co robiłem na YouTubie i co dalej robię na YouTubie.
454:  KMM - Ja bym to po prostu tworzył, ale w innym medium.
456:  KMM - Problem polega na tym z fejsem, że fejs się zestarzał.
459:  SR - Ale to nie chciałeś się przerzucić na przykład na LinkedIna w takim razie?
463:  KMM - Nie, bez przesady.
465:  SR - Zbyt wumersko.
466:  KMM - Tak, znaczy LinkedIn jest zbyt sztuczny, wiesz?
468:  KMM - To jest problem z LinkedIn'em duży.
470:  KMM - Ja tam czasem coś piszę i zawsze konstruuję inaczej wtedy posty o moich nowych filmach.
475:  KMM - Zawsze inaczej na społeczności LinkedIn'a i to czasem bardzo działa.
478:  KMM - Ale tam problem jest taki, że wszyscy grają rolę jakąś.
481:  SR - O tak.
482:  KMM - I to bardzo.
483:  KMM - Natomiast mi nie chodziło o to, żeby nie grać żadnej roli.
486:  KMM - Do samego końca się tego trzymam, żeby to było autentyczne.
491:  KMM - I dlatego też ten film jest taki nieodfiltrowany.
494:  KMM - Na tle niezaścielonego łóżka, zrobiony z rozwichszoną czupryną, zupełnie nagrany, jak to się mawia, ze środy na piątek i między jednym kęsem obiadu, a drugim.
506:  KMM - I to było zrobione dlatego głównie, że ja już nie miałem siły pisać, bo ja bardzo nie lubię pisać.
511:  KMM - Nie znoszę wręcz.
512:  KMM - I stwierdziłem, że już nie mogę.
514:  KMM - Nie dość, że odpowiadają mi ludzie, których nie kieruję tych komunikatów, bo to był główny ten problem.
519:  KMM - Miałem takich typowych troli po pięćdziesiątce, nie do wytrzymania.
523:  KMM - Naprawdę, trole przed pięćdziesiątką to jest nic w porównaniu do troli po pięćdziesiątce.
528:  KMM - Druga kwestia jest taka, że nie chciałem też cały czas mówić w mojej bańce akademickiej, chciałem wyjść poza nią.
534:  KMM - I trzecia kwestia jest też taka, że miałem już kamerę i miałem już mikrofon, bo kupiłem je na rzecz zdanień zdalnych.
541:  KMM - Więc skoro miałem kamerę i miałem mikrofon i stwierdziłem, że nie lubię pisać, to to było jedyne logiczne rozwiązanie, a żeby było śmieszniej, ja mam...
550:  KMM - Małe doświadczenie, o czym nigdy nie mówiłem, nigdzie, u nikogo, z prowadzeniem dwóch małych kanałów, to znaczy jeden to było wtedy, kiedy YouTube startował, 2007 rok, coś takiego, bardzo dawno temu, dlatego też moje konto... Ile miałeś wtedy lat, jeśli mogę spytać?
566:  KMM - Zielonego pojęcia, trzeba było by policzyć, a ja nie umiem liczyć, w każdym razie w informacjach...
571:  KMM - W informacjach o kanale jest napisane, że ja dołączyłem jakoś w zamierzchłych czasach.
574:  KMM - I to jest prawda.
575:  KMM - Rzeczywiście to jest bardzo stare konto.
577:  KMM - Zmieniałem jego nazwę, oczywiście.
579:  KMM - I wtedy robiliśmy kanał satyryczny z kolegą.
583:  KMM - I to był taki kanał satyryczny, jak wszyscy wtedy robili na YouTubie.
587:  KMM - To znaczy brało się... Były przeróbki Iwony, nie?
589:  KMM - Myśmy stwierdzili, że przeróbki Iwony to jest passé.
592:  KMM - I zrobiliśmy taki mashup różnych scen z filmów i podkładaliśmy pod to muzykę.
598:  KMM - I to było bardzo... Wiesz, to tam czarne oczy i się pojawia na przykład oko Saurona, tego typu rzeczy.
604:  KMM - Więc bawiliśmy się tym bardzo fajnie.
607:  KMM - I potem był jeszcze kanał fundacji, w której pracowałem.
612:  KMM - I ja tam robiłem... Znaczy to nie trudno powiedzieć robiłem.
615:  KMM - O, robiłem miniatury.
616:  KMM - To można by powiedzieć, że rzeczywiście robiłem.
619:  KMM - Natomiast jeżeli chodzi o robienie filmów, to polegało to na tym, że stawialiśmy kamerę przed typem, który mówił.
624:  KMM - I tyle.
625:  KMM - Tak więc...
626:  SR - Tak większość fundacji operuje, to też znam z doświadczenia.
628:  KMM - Tak, więc jeżeli ktoś mógłby złośliwie powiedzieć, że mój skill się nie zmienił od tego czasu, bo ja w dalszym ciągu stawiam przed sobą kamerę i po prostu do niej mówię i nie robię żadnej postprodukcji, wyjąwszy dodawanie muzyki, bo do tego mnie widzowie zmusili, żeby nie była zapętlona.
642:  KMM - Dla mnie nie byłoby żadnego problemu, bo ja słucham muzyki zapętlonej, ale skoro ludziom to przeszkadzało, to wiadomo, to audio na YouTube jest najważniejsze, więc tu się dostosowałem, natomiast cała reszta to jest zawsze na żywioł i na spontanii, więc tak robiłem.
654:  KMM - Więc to jest w zasadzie trzecie moje miejsce na YouTube, tylko pierwsze, gdzie rzeczywiście jest jakiś sukces, no bo tamte zostały zakopane i słusznie w pomrokach dziejów i są trudno dostępne.
665:  SR - powiedziałeś, że nie lubisz pisać.
668:  SR - Nie znoszę.
668:  SR - Nie znosisz, właśnie, nie znosisz pisać wręcz.
671:  SR - I teraz tak, zostałeś człowiekiem pracującym akademicko.
677:  SR - Czy tam nie trzeba przypadkiem dużo pisać cały czas, żeby się utrzymać?
682:  KMM - Konkretnie jest bardzo ścisła liczba tekstów, które musisz napisać w ciągu czterech lat.
687:  KMM - Żeby były punkciki.
688:  KMM - Tak, minimum cztery teksty, żeby były punkciki, oczywista sprawa.
691:  KMM - I druga rzecz,
693:  KMM - Człowiek się to może wydaje, że to jest cztery teksty w ciągu czterech lat.
697:  KMM - Tak, ptysiu różowy, oczywiście w ciągu czterech lat, ale czas oczekiwania na publikację tekstu to jest 2,5 roku.
703:  KMM - I teraz zadanie maturalne z matematyki, oblicz ile tekstów naukowych musisz pisać przy założeniu, że minimum czasu oczekiwania to jest 2,5 roku, żeby w ciągu czterech lat mieć cztery teksty.
714:  KMM - I nagle się okazuje, że trzeba pisać znacznie więcej, bo też nigdy nie wiesz, czy te dwa i pół roku, bo to w mojej dziedzinie tak jest niestety, no bo po pierwsze groznawstwo, więc bardzo mała dziedzina i w obrębie kulturoznawstwa, które ma przerost tekstów i strasznie jest dużo tego, w związku z powyższym jest też gigantyczna konkurencja, jest bardzo mało miejsc, w których możesz opublikować i faktycznie są takie miejsca, w których czekasz długo.
735:  KMM - Mój rekord, ile dajesz czekania na tekst, na opublikowanie?
739:  KMM - Więcej.
740:  KMM - Pięć lat?
741:  KMM - Więcej.
743:  KMM - Dziesięć.
743:  KMM - Dziesięć lat.
744:  KMM - W 2014 roku napisałem tekst Alotopia, a World Building Narrative, ponieważ to była synteza mojej książki magisterskiej, znaczy pomagisterskiej i to był ściśle 2014 rok i od tego czasu próbowałem publikować w różnych czasopismach, bo największe jaja pisze do Science Fiction Stories, mówią mi, eee,
761:  KMM - W narrative będzie lepiej.
762:  KMM - No to piszę do narrative i piszą mi, a myślał pan o science fiction studies?
765:  KMM - I to wiesz, i czekasz na coś takiego półtora roku.
768:  KMM - Więc no super, fantastyczna sprawa.
770:  KMM - I w końcu napisała do mnie Elana Gomel, profesorka z Uniwersytetu w Tel Awiwie i pyta mnie, Krzysztof, potrzebujemy tekstu teoretycznego o fantazji.
777:  KMM - Nikt nie pisze tekstów teoretycznych o fantazji.
778:  KMM - Ja mówię, wiesz co, Elana, mam sprzed dziesięciu lat taki tekst.
783:  KMM - I tylko dzięki temu to wyszło, bo tak to bym czekał dalej, bo to jest właśnie taka nisza w niszy, że ciężko znaleźć miejsce.
790:  KMM - Dlatego to jest taka męka, że nie dość, że piszesz, to jeszcze masz ten etap postprodukcji tekstu, który jest strasznie wydłużony.
795:  SR - Ale rozumiem, że też miałeś dużo farta, że ten tekst się nie zdezaktualizował po 10 latach.
800:  KMM - No nie mógł się zdezaktualizować, no bo to jest moja teoria, więc ona została wymyślona przeze mnie na podstawie swego drogu tego, bo pytałeś o autorytet naukowy, co rzucił kiedyś Umberto Eco, tam pół akapitu napisał o tym i ja to rozwinąłem potem, no więc wiesz, nie miałem takiego ryzyka, że to się zdezaktualizuje, ale właśnie dużo ludzi z dziedziny technicznej ma ten problem.
820:  KMM - że im się teksty błyskawicznie dezaktualizują i narzekają strasznie na te czasy oczekiwania, ale środowisko techniczne na przykład wywarło taką presję, że redakcje piszą, kiedy tekst został przyjęty, kiedy został zrecenzowany i opublikowany na początku artykułu.
833:  KMM - Więc to też jest ważna informacja dla czytelnika, żebyś widział, czy tam jeszcze nie było coś nie tak i też ważna informacja dla autora, że czasopismo traktuje to poważnie.
840:  SR - Okej, ale tak wracając w sumie do oryginalnego pytania, to jest... Nie znoszę pisać.
846:  SR - Właśnie, nie znosisz pisać, ale czy to w takim razie oznacza, że prędzej czy później będziesz się chciał pozbyć swojej pracy na uniwersytecie czy na akademii?
857:  KMM - Po pierwsze, głupota to by była z różnych względów.
860:  KMM - Przede wszystkim takich, że zawsze uważam i wszystkim to doradzam, żeby mieli plan B i plan C do planu B, plan D do planu C, bo nigdy nie wiadomo, zwłaszcza w Polsce, jaki jest z rynkiem, jaka jest koniunktura.
871:  KMM - Nigdy nie wiadomo.
872:  KMM - Po drugie, uważam, że tworzenie treści dla tworzenia treści to jest trochę mało.
876:  KMM - Trzeba mieć coś poza jakąś wiedzę, kompetencje, skill, który sprzedajesz potem w internecie.
880:  KMM - A ponieważ się też często wypowiada na temat edukacji, to dla mnie jest praktyczne to, żeby mieć wygląd od środka, jak to wygląda.
885:  KMM - bo nimi nie sprzeda potem żadnego bullshitu, że coś funkcjonuje, jak funkcjonuje.
889:  KMM - Na przykład ludziom się wydaje, że komisje dyscyplinarne funkcjonują tak, że ohoho, że jakiegoś profesora jesteśmy w stanie w ciągu roku usunąć z uczelni i Jezus Maria, tak, wystarczy nagonka, wystarczy powiedzieć, że
901:  KMM - że jeden student czy jedna studentka coś powie i profesor od razu mówi, a gdzie tam?
905:  KMM - I dzięki temu, że jestem w komisji dyscyplinarnej, wiem, jak to działa.
908:  KMM - Więc to też jest dobre od tej strony.
910:  KMM - A po trzecie, i to jest chyba najważniejsze dla mnie, ja nie umiem pracować nad jedną rzeczą stale.
916:  KMM - Więc na przykład, jak piszę teksty naukowe, to zwykle to jest w wakacji.
919:  KMM - Jak zajmuję się dydaktyką, no to w ciągu roku akademickiego.
922:  KMM - YouTube to jest w rozsadzie przez cały rok, ale czasem robię więcej streamów.
925:  KMM - I ja bardzo lubię pracować trójpolówką, bo się szybko nudzę i szybko się wypalam.
930:  KMM - Więc mam jedno zadanie, drugie zadanie, trzecie zadanie, czwarte zadanie w obrębie czterech dyscyplin w ciągu jednego tygodnia.
936:  KMM - I ja dzięki temu się nie wypalam od 15 lat.
938:  KMM - A był inaczej, znaczy inaczej, po prostu większość osób z mojego pokolenia jest już wypalona.
944:  KMM - Zwłaszcza w tej dziedzinie i ja wyciągam z tego bardzo szybko lekcje na całe życie, że maksymalnie dużo różnych zajęć to jest dobra sytuacja, tylko trzeba uważać, żeby nie popaść w pracoholizm.
956:  SR - Tak, no ale właśnie ostatnio słuchałem jakiegoś podcastu, już nie pamiętam, kto to mówił, ale że trzeba znaleźć sobie puzzle do rozwiązywania przez całe życie i wtedy człowiek jest szczęśliwy.
965:  KMM - Bardzo mądry.
966:  SR - Bo jak człowiek nie ma nic do roboty, to po prostu sam umiera od środka i często nawet faktycznie umiera.
971:  SR - Po prostu nie ma zajęcia.
973:  SR - Słyszałem taki case pilotów samolotów, którzy przechodzą na emeryturę i spada im drastycznie, rośnie im śmiertelność po prostu bardzo mocno.
983:  SR - Po prostu kończy im się...
985:  SR - Życie w tym sensie, że nie mają już nic takiego do roboty ekscytującego, co daje im adrenalinę codziennie.
991:  SR - Nie wspominałeś nic w trakcie opowiadania o swojej pracy o wykładach.
995:  SR - Robisz wykłady w szkole?
997:  KMM - Tak, oczywiście na Uniwersytecie Warszawskim mi się zdarza, tam mam czasem zajęcia w Collegium Artes Liberales, tylko że tam jest o tyle fajnie, że trzeba za każdym razem złożyć nowe, nad tym siada komisja, studenci i tak dalej, i oceniają, czy tego chcą.
1010:  KMM - Tak powinno być na każdej uczelni.
1012:  KMM - Mam też zajęcia, w zeszłym roku miałem na Uniwersytecie Śląskim, też w Kolegium Międzywydziałowych Studiów, bardzo sympatyczna sprawa, też możesz sobie wybierać różne przedmioty, sam tworzysz swój kierunek.
1022:  KMM - Natomiast główna moja praca to jest Akademia Górniczo-Hudnicza, Katedra Technologii Informacyjnych i Mediów, tak to się ładnie nazywa, na Wydziale Humanistycznym.
1030:  SR - I jeśli chodzi o porównanie tego właśnie do całej pozostałej pracy, to bardziej wolisz właśnie wykładać, czy wolisz pisać coś, co ci pasjonuje?
1040:  KMM - Zdecydowanie wolę wykłady, natomiast najbardziej lubię projekty naukowe, które nie mają terminu.
1047:  KMM - Więc zajmuję się czymś, myślę nad czymś.
1050:  KMM - Teraz mam taki pomysł na badanie różnych sposobów nawigowania po fikcyjnych przestrzeniach i to, dlaczego otwarte światy nie działają.
1058:  KMM - I co to się stało z otwartymi światami w grafii doż?
1061:  KMM - Nie działają.
1061:  KMM - No i nad tym sobie myślę.
1062:  KMM - I denerwuje mnie na przykład to, że ktoś mi mówi, że muszę napisać cztery artykuły w ciągu czterech lat na ten temat.
1066:  KMM - Więc to jest ta strona, która jest irytująca.
1068:  KMM - Ale wiesz, a samo poszukiwanie to jest fascynująca sprawa.
1071:  KMM - No i druga rzecz, to jest chyba moja ulubiona, to jest tutoring.
1074:  KMM - Czyli wiesz, jeden na jeden relacja ze studentem.
1077:  KMM - Projekt naukowy, jakiś ktoś chce opublikować tekst naukowy, mamy na to osiem spotkań, to jest mało, ale mamy na to osiem spotkań i te osiem spotkań aranżuje nie wykładowca, tylko student.
1086:  KMM - I on przychodzi i mówi, dobra, ja chcę zrobić to, to, to i to, i to.
1089:  KMM - I kończy się spotkanie, co chcesz zrobić następnym razem?
1092:  KMM - Robimy to.
1092:  KMM - I dwie strony się przygotowują do spotkania wtedy.
1095:  KMM - To jest niesamowicie efektywne.
1097:  KMM - Dużo osób już po tych tutoringach u mnie pojechało na swoje konferencje międzynarodowe, zagraniczne, napisało swoje pierwsze artykuły naukowe, albo bardzo szybko postąpiło w pracach nad pracą dyplomową jakąś, więc bardzo dobra metoda.
1111:  KMM - Swoją drogą chyba to jest jedyna rzecz na AGH-u w historii uczelni, która zwraca 100% satysfakcji.
1116:  KMM - Nie, że tam 99, tylko 100.
1117:  KMM - 100% ludzi mówi, świetne, zróbcie to dla wszystkich.
1123:  KMM - To jest ciekawe bardzo.
1125:  KMM - Ale wiesz, mnie to nie dziwi, bo nam bardzo tego brakuje.
1129:  KMM - Sam rynek korepetycji w Polsce pokazuje, jak bardzo brakuje konsultacji jeden na jeden.
1134:  SR - Czy myślałeś, czy kiedykolwiek zaangażować się w jakąś pracę polityczną, niekoniecznie wchodząc jako poseł?
1141:  SR - Mówię na przykład o pracy w Ministerstwie Edukacji albo czymś w tym rodzaju, co po prostu mogłoby zmienić w jakiś sposób tą szkołę na poziomie ogólnokrajowym.
1151:  KMM - To zabrzmi bardzo cynicznie, ale ponieważ jestem z rodziny wielopokoleniowej, jeżeli chodzi o te tradycje edukacyjne różne i było wielu kuratorów, doradców, dziekanów, prorektorów, prodziekanów, to wiem, że ta władza nic nie daje.
1169:  KMM - Po prostu nic nie daj, nic, nic nie jesteś w stanie zmienić.
1171:  KMM - Jedyna rzecz, która jest w stanie cokolwiek zrobić, to niestety gadanie u podstaw i zmienianie tego u podstaw.
1179:  KMM - Jest nieprawdopodobnie niedoceniane to, jak dużo presja społeczna może wywrzeć.
1183:  SR - Czyli musielibyśmy zmienić społeczeństwo samo w sobie, żeby zmienić system, tak naprawdę.
1187:  KMM - Albo, wiesz, zmienić społeczeństwo brzmi bardzo trudno, a...
1193:  KMM - Uświadomić sobie, jakie są nasze zapotrzebowania brzmi bardzo łatwo.
1196:  KMM - Trzeba postawić na egoizm ludzi.
1198:  KMM - Ludzie egoistycznie potrzebują, żeby działało wszystko, żeby mieli mniej roboty.
1202:  SR - No, szczególnie rodzice wysyłający dzieci na korepetycje na przykład, albo sami siedzący nad pracami domowym.
1207:  KMM - I wydający pieniądze niepotrzebnie, których nie musieliby wydawać.
1209:  KMM - Więc uświadomienie sobie tych rzeczy sprawi, że presja społeczna będzie zdecydowanie szybciej.
1214:  KMM - Po prostu trzeba sobie zdawać z tego sprawę, kim jesteśmy jako Polacy.
1217:  SR - Ale Krzysztof, tak zawsze było!
1219:  KMM - My jesteśmy sprytni, wbrew pozorom, nie?
1221:  KMM - Jesteśmy sprytni i zaradni i nie dajemy z siebie robić głupa.
1226:  KMM - W związku z powyższym to są te trzy rzeczy, które trzeba wykorzystać, żeby cośkolwiek zmienić.
1230:  KMM - Natomiast podając Ci konkretny przykład, jeżeli jesteś u władzy, jesteś jedną osobą, a w nauce działa demokracja, a nie merytokracja.
1238:  KMM - Gdyby działała merytokracja, to masz absolutną rację.
1241:  KMM - Jedna osoba, niech zmieni wszystko.
1242:  KMM - Prawda jest taka, że jedna osoba w którymś momencie zostanie zakrzyczana, wyciągnięte są stąd jakieś brudy na nią i cokolwiek zostanie zrobione po to, żeby zdyskredytować jednostkę, a przez zdyskredytowanie jednostki w czasach globalnego cancelowania jesteśmy w stanie zdyskredytować dowolny temat.
1259:  KMM - Więc to jest wręcz niebezpieczne, powiedziałbym.
1261:  KMM - Dlatego trzeba to rozproszyć.
1263:  KMM - Mój ulubiony film, V for Vendetta, dystopijny, Ideas are bulletproof.
1269:  KMM - Idee są kuloodporne, ludzie nie są kuloodporni, więc trzeba stawiać na idee, nie na męczenniku.
1276:  KMM - To nam wpaja szkoła.
1277:  KMM - Ta martyrologia i romantyczne przekonanie o kulcie jednostki, że jednostka cokolwiek zmieni.
