Ród Smoka odc. 4 | Omawiamy Sezon 2
🔗 https://www.youtube.com/watch?v=lGTyj0MYkS8
KMM (Krzysztof M. Maj)
GW (Grzegorz Wątroba, Okiem Deva)
TN (Tomasz Nowakowski, Ubieram Się na Czarno)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

17:  BFP - Taniec smoków już naprawdę się zaczął.
21:  BFP - Witam was na omówieniu czwartego odcinka drugiego sezonu Rodu Smoka, który dowozi, który dowozi w każdym sensie tych słów i dowozi nam to, co zostało nam obiecane.
35:  BFP - Widziałem taką jedną recenzję, która zabawnie zaczynała się od słów.
39:  BFP - To jest serial, który był nam obiecany na zasadzie The Promised Prince z Game of Thrones.
43:  BFP - Tak to jest wreszcie House of the Dragon that was promised.
47:  BFP - Panowie, witam was serdecznie, witam w moim gronie Grzegorza Wątroby z kanału Okiem Deva.
53:  GW - Witam wszystkich.
54:  KMM - Witam Krzysztofa M. Maja.
57:  KMM - Witam serdecznie wszystkich, jestem dzisiaj zadowolony, nie wiem z czego bardziej, czy z odcinka, czy z tego, że sesja się skończyła.
65:  BFP - I witam, ja teraz się zatrzymałem, żeby nie zrobić błędu, Tomka Nowakowskiego z Ubieram się na czarno, bo jestem z Nocnej Straży, ale jestem z siebie dumny, że nie powiedziałem należę do Nocnej Straży.
76:  BFP - Dobry wieczór Tomku.
78:  TN - Dobry wieczór wszystkim, cześć.
79:  BFP - Ty widziałeś ten odcinek przed nami, ty widziałeś go chwilę wcześniej i pamiętam, że napisałeś mi pokrótce, internet wybuchnie po tym odcinku.
92:  KMM - Chytry, nie wiedziałem.
94:  KMM - Cicha woda brzegi rwie, nic nie mówiłeś.
97:  TN - Ale ja dopiero w piątek go obejrzałem, bo jednak Max się zreflektowało i dało mi screener, ale tylko na ostatni odcinek i tylko dwa dni przed, więc zbyt długo przed wami go nie obejrzałem.
110:  TN - Ale tak, w piątek napisałem do Bartka, że internet wybuchnie po tym odcinku, no i wydaje mi się, że rzeczywiście chyba tak jest, prawda?
120:  BFP - A jak to oceniasz?
120:  BFP - Jak ocenić wybuch w internecie albo wybuch internetu?
124:  TN - Znaczy, no ja jestem wszędzie w fandomie, jestem na reddicie, jestem na jakichś różnych grupach, sam prowadzę przecież fanpage'a, tiktoka i tak dalej.
133:  TN - I widzę to po reakcjach ludzi, więc to, co dzisiaj zaobserwowałem na tych wszystkich mediach, które wymieniłem, no to myślę, że można
143:  TN - uznać, że tak, że ludzie są zadowoleni, a chociażby widać to po IMDB, odcinek oceniło 17 tysięcy osób na ten moment i jest on oceniony na 9,7, co jest najlepszym odcinkiem ocenionym w IMDB Rodu Smoka i jest w top 10 całej franczyzy, czyli licząc również Grę o Tron.
168:  BFP - Inwigilator napisał na czacie, że odcinek był smoczysty z M w nawiasie.
175:  BFP - No wiecie, powiem wam, ja jestem na pewno zadowolony i to jest dokładnie to, czego oczekiwałem, to jest to, czego mi brakowało.
182:  BFP - Wydaje mi się, że to jest pewien benchmark teraz dla tego serialu i chciałbym, żeby to tempo zostało utrzymane.
187:  BFP - Ja nie mówię, że muszą dziać się tak spektakularne rzeczy co odcinek, ale zakładam, że musi w tym sezonie wydarzyć się przynajmniej dwa czy trzy razy jeszcze coś tak dużego.
198:  BFP - żeby nie stwierdzić, że była to równia pochyła.
202:  BFP - Niemniej, znając zawartość książki do tego momentu i wiedząc, co się wydarzy, w mojej głowie wyglądało to nieco bardziej spektakularnie.
214:  BFP - I mówię o Tańcu Smoków, i mówię o Wejgarze, Meleis i tym trzecim smoku, którego teraz sobie... Sunfire.
223:  TN - A gdzie było bardziej spektakularnie?
226:  TN - Rozumiem, że w serialu.
227:  BFP - Nie, w mojej głowie było bardziej spektakularnie.
229:  GW - W mojej głowie to większość rzeczy wygląda bardziej spektakularnie.
233:  BFP - O tak, that's what she said.
236:  BFP - Ale troszeczkę, troszeczkę, kurczę, miałem takie wrażenia, szczególnie jak widziałem te sceny batalistyczne, porównywałem to w swojej głowie do tego, co widzieliśmy, na przykład Bitła Benkartów.
252:  BFP - I tam była ta niezwykła
255:  BFP - kinowość, kinematograficzność.
258:  BFP - Tutaj miałem trochę takie wrażenie, jakbym oglądał fragmenty przebitek z programu na History Channel.
264:  BFP - Nie wiem dlaczego, ale dwa czy trzy razy widziałem, jak właśnie oddział piechurów brnie naprzód i jakoś tak dziwnie to było nakręcone.
273:  BFP - Ponownie, zaczynam od czepialstwa, ale tylko dlatego, że mam raczej wyłącznie same dobre rzeczy do powiedzenia o tym odcinku, pomimo kilku pinezek, które w nie wbiję.
283:  BFP - Ale chciałbym usłyszeć też waszą Krzysztofie i Grzegorzu opinię na temat tego odcinka czwartego.
289:  KMM - No i ja wreszcie usłyszałem takie dialogi, do których byłem przyzwyczajony w grze o tron.
294:  KMM - Bardzo dobre były te sceny, które były niebatalistyczne.
297:  KMM - I to jest ciekawe, że wreszcie zaczęło się w nich coś dziać.
301:  KMM - Wreszcie zaczęto mówić o tym, co jest faktycznie interesujące.
304:  KMM - O polityce, o prehistorii tego świata.
306:  KMM - Zaczęto uruchamiać różne interesujące konteksty.
309:  KMM - Pojawiła się wreszcie magia, przypominam.
312:  KMM - No i jesz, ja mogę czekać na to, żeby się pojawiła w serialu fantasy magia, no przepraszam, że mam takie wygórowane oczekiwania.
320:  KMM - I na sam koniec fantastyczna scena batalistyczna, choć muszę powiedzieć, że też miałem podobny moment jak Filip, ja go miałem wtedy, kiedy tacy łucznicy, jak z cosplayu na wiosce konwentowej, takiej wiecie, rekonstrukcyjnej, słowiańskiej, zaczęli strzelać z tych swoich łuków.
335:  KMM - No to wyglądało to bardzo budżetowo i śmiesznie.
337:  KMM - Jak również, zauważcie, że po raz kolejny jest zastosowany dokładnie ten sam manewr smoka, który jest ukryty i pikuje sobie radośnie, albo wyskakuje zza góry i atakuje.
347:  KMM - Miałem taki vibe tego ataku, pamiętnego ataku, co to było, siódmy?
354:  KMM - sezon, ósmy sezon Gry o Tron, nie pamiętam, kiedy nagle smoki straciły zdolność dostrzegania zagrożeń zewsząd, mimo że smog leci, tak, u góry leci, więc powinien widzieć, jeżeli coś się kryje za murem zamkowym.
366:  KMM - Pomijając takie czepialstwo, to wreszcie dostałem coś, co było na poziomie Gry o Tron faktycznie i przede wszystkim mam wrażenie, że bardzo dobrze wreszcie
378:  KMM - rozplanowano napięcie narracyjne, to znaczy nie było zbyt dużo wątków, nie były one przerywane i skupiono się rzeczywiście na historii paru konkretnych postaci, no przede wszystkim oczywiście króla Aegona, ale oprócz tego Daemona Targaryena i Rhaenyry, więc wydaje mi się, że to jest bardzo optymalne i powinni robić tak dalej, ponieważ jak znowu będą wprowadzali milion różnych wątków, to po prostu te nierzadkie naprawdę sceny, które mamy, batalistyczne, interesujące sekwencje dialogów politycznych, zginą w tłumie.
407:  KMM - Grzegorzu?
409:  GW - Jak myślałem o tym odcinku, jak będziemy na jego temat dyskutować, to ja miałem w głowie taką zajawkę po prostu.
418:  GW - Czemu nie wolno pić z obcego kubeczka?
420:  GW - Czemu nie należy prowadzić po pijaku w tym smoka?
422:  GW - Jak wygląda definicja friendly fire w Westeros i w końcu dlaczego ród smoka dostaje w końcu swoją reprezentację stwierdzenia kurde przypał?
430:  GW - No to i wiele więcej w tym odcinku naszej dyskusji.
433:  GW - Tak, dokładnie.
436:  GW - Ale jestem w końcu bardziej usatysfakcjonowany tym, co się działo na ekranie.
444:  GW - Co prawda znowu w tych kwestiach, w których gdzieś tam...
452:  GW - Nie pasowały mi niektóre rzeczy związane z CGI i to tak bardzo dlatego, bo widać, że mimo, że poszedł budżet na parę fajnych scenek, na przykład jak Veigar sobie tam leżał w tej trawie i tam mu powiedział Eymond leżeć, no to wtedy to wyglądało dobrze.
467:  GW - No bo mieliśmy zamkniętą miejscówkę, ładne oświetlenie z góry, wszystko pasowało, ale w momencie, kiedy były pokazywane sceny,
474:  GW - Przynajmniej niektóre, gdzie Targaryenowie dosiadali smoków i lecieli, no to po prostu wtedy wleciał mocny budżet, mieliśmy maksymalnie rozmyte tło, po prostu widać było, że to był taki masakryczny green screen, że aż piekło w oczka.
493:  GW - Ujęcia z daleka i tak dalej, wszystko było w miarę okej, natomiast no te sceny do siadania smoków niektóre zawiodły mnie trochę.
502:  GW - I troszeczkę zaszalały taniością, gdzieś tam właśnie było bardzo źle przełożono się do powiedzmy tego wyczyszczenia postaci w tle i tak dalej.
513:  GW - Tutaj to nie pasowało, natomiast
517:  GW - Bardzo dobrze pokazano, że człowiek względem smoka to jest pryszcz po prostu i tą skalę wydaje mi się naprawdę dobrze tutaj ukazano, więc nie tyle właśnie samo CGI, co dobrze zrobione ujęcie tutaj zrobiło mi chyba robotę w tych wszystkich scenach.
537:  GW - No i oczywiście przy okazji wyszedł z Alice and Mały Diobełek i generalnie tak mocno pocisnęła synowi, że aż właśnie stwierdził, że chrzani to daje w banie i leci na smoku po prostu na imprezę.
554:  GW - No dużo rzeczy się działo w tym odcinku, na wielu frontach i w dialogach było ostro i w bataliach było ostro, także żeby tego za bardzo nie rozmywać to w sumie możemy chyba iść od początku i sobie poanalizować to wszystko, bo naprawdę jest co w tym odcinku.
570:  BFP - Krzępit napisał, moje serduszko bije dla Reynis.
573:  BFP - Myślę, że nie tylko twoje.
575:  BFP - Przynajmniej jedna scena, która doprowadziła mnie prawie do łez.
581:  BFP - Pierwszy raz w tym sezonie, nie licząc zakończenia pierwszego sezonu, kiedy zostaje koronowana Rhaenyra i klęka Daemon przed nią i wszyscy klękają.
590:  BFP - na smoczej skale, to teraz jest jedna scena, która prawie wycisnęła ze mnie łzy.
595:  BFP - Ale FRS napisał jeszcze, że bitwa Benkartów nie ma sensu strategicznego i logistycznego.
600:  BFP - Fight me on that.
601:  BFP - Szarża rycerzy z Vale ukrywała się równie dobrze jak Veigar.
605:  S01 - FRS brzmi teraz jak taki dziadek, który mówi Richard Nixon był dobrym prezydentem i czuję się w obowiązku wam o tym powiedzieć.
612:  BFP - Owszem, chodziło mi bardziej o samą
615:  BFP - Widowiskowość.
616:  BFP - Oto jak coś było nakręcone.
618:  BFP - Ja mam w głowie scenę, w której całkowicie osamotniony na polu bitwy ze względu na swoją nieopisaną i nieskończoną głupotę, Jon Snow przygotowuje się na szarżę Remseya Boltona i jego kawalerii i po prostu widzimy jak stoi z ostrzem, jak stoi z mieczem i przygotowuje.
636:  BFP - To jest wybitnie nakręcone.
638:  BFP - To jest kadr, który zapamięta się do końca życia.
640:  BFP - Takiego kadru nie zapamiętałem podczas tej bitwy, czy podczas tego oblężenia Gawroniego Gniazda, ale może na któryś natrafimy w trakcie przeglądania.
648:  KMM - Jeszcze chciałem wybić jedną ogólną uwagę, bo myślę, że ona dotyczy właśnie całego odcinka od California Freak, że wkurza go, że wszystko było wyprane z kolorów, gdzie był niby ten złoty i czerwony smok, widziałem szaloburę smoki.
659:  KMM - Ja mu uważam, i to jest moja teoria odnośnie do całego House of the Dragon, że HBO rozpaczliwie chce udowodnić nam wszystkim, że to nie jest serial fantasy, to jest raz, bo tak samo zrobili przy Grze o Tron i osiągnęli sukces i potem jak zaczęło być wprowadzane więcej magii i tak dalej, no to mamy fałszywą korelację, że serial sobie źle radził.
681:  KMM - Założę się, że ktoś tam może tak argumentować i druga kwestia jest taka, że to CGI, o którym mówi Grzegorz, wyglądałoby jeszcze gorzej,
687:  KMM - gdyby właśnie nie było tej desaturacji.
689:  KMM - Ta desaturacja sprawia i te ciemne barwy, że możemy bardzo wiele rzeczy przemycić i wtedy mamy, zauważcie, dwie pieczenie na jednym ogniu.
697:  KMM - Z jednej strony to nie wygląda jak jakiś kolorowy, trzpiotkowy serial fantasy w stylu Willow, który, jak pamiętamy, był koszmarną klapą, ale właśnie miał takie wybory estetyczne i nie mamy wajbu niekończącej się opowieści, a z drugiej strony właśnie to wygląda jak serial historyczny, dzięki czemu apeluje do większej publiczności odbiorczej.
715:  BFP - Ale to moja hipoteza.
716:  BFP - I nie było cię w czwartek, ale mówiłem coś, co cię może zadowoli.
721:  BFP - Dostałem maila, którego ci przekażę również od Jana Sokali, którego pozdrawiam z tego miejsca, który zajmuje się sztuką operatorską na łódzkiej filmówce.
731:  BFP - I potwierdził wszystkie twoje zarzuty.
734:  BFP - Przede wszystkim dotyczące tego, że w Rodzie Smoka brakuje takiej spójności kolorystycznej i oświetlenia, jaka była typowa dla Gry o Tron, że ciemne rzeczy są za ciemne i że szare rzeczy są zbyt szare.
